col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SIDO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SIDO
1,21-11-2025,555,555,545,550,8.185.500,4.502.025.000,0.00%,0.00%,-1.80%,-0.90%,0.00%,1.80%,SIDO
2,20-11-2025,550,555,545,555,19.256.600,10.687.413.000,0.00%,0.91%,-0.91%,0.91%,0.91%,0.90%,SIDO
3,19-11-2025,550,555,550,550,7.334.500,4.033.975.000,0.00%,0.91%,0.00%,0.00%,0.91%,0.90%,SIDO
4,18-11-2025,560,565,550,550,12.607.200,6.933.960.000,0.00%,0.89%,-1.79%,-1.79%,0.89%,1.77%,SIDO
5,17-11-2025,565,565,555,560,16.308.600,9.132.816.000,0.00%,0.00%,-1.77%,-0.88%,0.00%,0.88%,SIDO
6,14-11-2025,570,570,560,565,12.499.700,7.062.330.500,0.88%,0.88%,-0.88%,0.00%,0.00%,3.51%,SIDO
7,13-11-2025,560,570,550,565,27.672.400,15.634.906.000,0.00%,1.79%,-1.79%,0.89%,1.79%,3.51%,SIDO
8,12-11-2025,555,560,550,560,23.612.000,13.222.720.000,0.00%,0.90%,-0.90%,0.90%,0.90%,2.68%,SIDO
9,11-11-2025,550,555,545,555,34.881.600,19.359.288.000,-2.65%,-1.77%,-3.54%,-1.77%,0.91%,-0.90%,SIDO
10,10-11-2025,570,570,560,565,42.900.500,24.238.782.500,0.88%,0.88%,-0.88%,0.00%,0.00%,1.75%,SIDO
11,07-11-2025,575,575,560,565,28.106.800,15.880.342.000,0.00%,0.00%,-2.61%,-1.74%,0.00%,0.87%,SIDO
12,06-11-2025,580,580,570,575,17.440.100,10.028.057.500,0.00%,0.00%,-1.72%,-0.86%,0.00%,1.72%,SIDO
13,05-11-2025,575,580,570,580,18.913.500,10.969.830.000,0.00%,0.87%,-0.87%,0.87%,0.87%,0.86%,SIDO
14,04-11-2025,575,585,575,575,19.491.600,11.207.670.000,0.00%,1.74%,0.00%,0.00%,1.74%,4.27%,SIDO
