col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SILO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SILO
1,21-11-2025,2.430,2.510,2.420,2.500,1.202.000,3.005.000.000,0.00%,3.29%,-0.41%,2.88%,3.29%,3.19%,SILO
2,20-11-2025,2.500,2.500,2.430,2.430,1.737.600,4.222.368.000,0.40%,0.40%,-2.41%,-2.41%,0.00%,0.80%,SILO
3,19-11-2025,2.550,2.560,2.480,2.490,1.113.200,2.771.868.000,0.00%,0.39%,-2.75%,-2.35%,0.39%,4.30%,SILO
4,18-11-2025,2.550,2.550,2.450,2.550,1.670.600,4.260.030.000,0.00%,0.00%,-3.92%,0.00%,0.00%,5.10%,SILO
5,17-11-2025,2.500,2.600,2.420,2.550,3.766.800,9.605.340.000,0.00%,4.00%,-3.20%,2.00%,4.00%,7.31%,SILO
6,14-11-2025,2.450,2.500,2.410,2.500,5.094.800,12.737.000.000,0.00%,2.04%,-1.63%,2.04%,2.04%,3.20%,SILO
7,13-11-2025,2.500,2.510,2.420,2.450,2.704.600,6.626.270.000,3.31%,3.72%,0.00%,1.24%,0.40%,5.98%,SILO
8,12-11-2025,2.410,2.500,2.360,2.420,4.770.500,11.544.610.000,1.26%,5.04%,-0.84%,1.68%,3.73%,6.00%,SILO
9,11-11-2025,2.360,2.470,2.350,2.380,4.674.800,11.126.024.000,0.00%,4.66%,-0.42%,0.85%,4.66%,5.67%,SILO
10,10-11-2025,2.340,2.440,2.330,2.360,6.394.100,15.090.076.000,0.00%,4.27%,-0.43%,0.85%,4.27%,7.79%,SILO
11,07-11-2025,2.320,2.350,2.250,2.340,6.557.000,15.343.380.000,0.87%,2.17%,-2.17%,1.74%,1.29%,10.64%,SILO
12,06-11-2025,2.120,2.300,2.100,2.300,8.322.900,19.142.670.000,0.95%,9.52%,0.00%,9.52%,8.49%,10.43%,SILO
