col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SKLT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SKLT
1,21-11-2025,266,266,230,234,12.407.100,2.903.261.400,-1.48%,-1.48%,-14.81%,-13.33%,0.00%,20.30%,SKLT
2,20-11-2025,222,270,212,270,26.564.100,7.172.307.000,2.78%,25.00%,-1.85%,25.00%,21.62%,23.70%,SKLT
3,19-11-2025,210,222,206,216,1.771.900,382.730.400,-0.94%,4.72%,-2.83%,1.89%,5.71%,6.31%,SKLT
4,18-11-2025,210,216,208,212,168.800,35.785.600,-1.87%,0.93%,-2.80%,-0.93%,2.86%,3.70%,SKLT
5,17-11-2025,210,216,208,214,544.500,116.523.000,0.96%,3.85%,0.00%,2.88%,2.86%,4.63%,SKLT
6,14-11-2025,210,216,206,208,298.800,62.150.400,0.00%,2.86%,-1.90%,-0.95%,2.86%,4.63%,SKLT
7,13-11-2025,216,216,206,210,985.100,206.871.000,1.89%,1.89%,-2.83%,-0.94%,0.00%,2.78%,SKLT
8,12-11-2025,218,218,210,212,313.700,66.504.400,1.87%,1.87%,-1.87%,-0.93%,0.00%,5.50%,SKLT
9,11-11-2025,214,214,206,214,488.700,104.581.800,0.94%,0.94%,-2.83%,0.94%,0.00%,4.67%,SKLT
10,10-11-2025,214,216,204,212,1.221.000,258.852.000,0.00%,0.93%,-4.67%,-0.93%,0.93%,2.78%,SKLT
11,07-11-2025,214,218,210,214,593.400,126.987.600,-0.93%,0.93%,-2.78%,-0.93%,1.87%,5.50%,SKLT
12,06-11-2025,216,228,206,216,1.542.800,333.244.800,0.00%,5.56%,-4.63%,0.00%,5.56%,5.26%,SKLT
13,05-11-2025,222,226,216,216,555.900,120.074.400,0.00%,1.80%,-2.70%,-2.70%,1.80%,3.54%,SKLT
14,04-11-2025,232,236,218,222,1.983.000,440.226.000,6.42%,8.26%,0.00%,1.83%,1.72%,10.17%,SKLT
15,03-11-2025,212,260,212,218,7.883.100,1.718.515.800,0.95%,23.81%,0.95%,3.81%,22.64%,20.00%,SKLT
16,31-10-2025,216,228,208,210,2.292.600,481.446.000,0.00%,5.56%,-3.70%,-2.78%,5.56%,12.28%,SKLT
17,30-10-2025,208,252,200,216,11.574.100,2.500.005.600,2.97%,24.75%,-0.99%,6.93%,21.15%,19.84%,SKLT
18,29-10-2025,206,210,202,202,989.900,199.959.800,3.52%,5.53%,1.51%,1.51%,1.94%,5.24%,SKLT
19,28-10-2025,202,206,199,199,162.800,32.397.200,0.00%,1.98%,-1.49%,-1.49%,1.98%,2.91%,SKLT
20,27-10-2025,202,208,200,202,200.200,40.440.400,0.00%,2.97%,-0.99%,0.00%,2.97%,3.85%,SKLT
21,24-10-2025,202,206,200,202,69.600,14.059.200,0.00%,1.98%,-0.99%,0.00%,1.98%,2.91%,SKLT
22,23-10-2025,202,206,200,202,82.300,16.624.600,0.00%,1.98%,-0.99%,0.00%,1.98%,2.91%,SKLT
23,22-10-2025,210,210,200,202,340.900,68.861.800,3.96%,3.96%,-0.99%,0.00%,0.00%,7.62%,SKLT
24,21-10-2025,199,204,194,202,455.800,92.071.600,-0.50%,2.00%,-3.00%,1.00%,2.51%,6.37%,SKLT
25,20-10-2025,195,202,191,200,455.300,91.060.000,0.00%,3.59%,-2.05%,2.56%,3.59%,5.45%,SKLT
26,17-10-2025,197,230,191,195,3.300.500,643.597.500,0.00%,16.75%,-3.05%,-1.02%,16.75%,14.35%,SKLT
27,16-10-2025,200,202,197,197,171.200,33.726.400,1.52%,2.54%,0.00%,0.00%,1.00%,2.97%,SKLT
28,15-10-2025,200,202,196,197,218.100,42.965.700,0.00%,1.00%,-2.00%,-1.50%,1.00%,1.98%,SKLT
29,14-10-2025,202,206,198,200,235.400,47.080.000,-0.98%,0.98%,-2.94%,-1.96%,1.98%,7.77%,SKLT
30,13-10-2025,202,208,190,204,509.700,103.978.800,-2.88%,0.00%,-8.65%,-1.92%,2.97%,0.96%,SKLT
31,10-10-2025,210,212,206,208,172.900,35.963.200,0.96%,1.92%,-0.96%,0.00%,0.95%,4.72%,SKLT
32,09-10-2025,208,218,202,208,1.265.300,263.182.400,0.00%,4.81%,-2.88%,0.00%,4.81%,4.59%,SKLT
33,08-10-2025,214,216,208,208,712.400,148.179.200,0.00%,0.93%,-2.80%,-2.80%,0.93%,6.48%,SKLT
34,07-10-2025,208,228,202,214,1.468.400,314.237.600,0.00%,9.62%,-2.88%,2.88%,9.62%,10.53%,SKLT
35,06-10-2025,204,222,204,208,1.910.600,397.404.800,0.00%,8.82%,0.00%,1.96%,8.82%,9.01%,SKLT
36,03-10-2025,210,214,202,204,689.100,140.576.400,0.00%,1.90%,-3.81%,-2.86%,1.90%,7.01%,SKLT
