col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SLIS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SLIS
1,21-11-2025,86,86,81,81,31.746.100,2.571.434.100,3.61%,3.61%,-2.41%,-2.41%,0.00%,8.14%,SLIS
2,20-11-2025,80,88,79,83,154.343.500,12.810.510.500,1.27%,11.39%,0.00%,5.06%,10.00%,10.23%,SLIS
3,19-11-2025,80,81,79,79,13.495.800,1.066.168.200,1.27%,2.53%,0.00%,0.00%,1.25%,3.70%,SLIS
4,18-11-2025,79,81,78,79,11.809.800,932.974.200,-1.25%,1.25%,-2.50%,-1.25%,2.53%,2.47%,SLIS
5,17-11-2025,80,81,79,80,12.033.500,962.680.000,0.00%,1.25%,-1.25%,0.00%,1.25%,1.23%,SLIS
6,14-11-2025,82,83,80,80,12.010.300,960.824.000,0.00%,1.22%,-2.44%,-2.44%,1.22%,3.61%,SLIS
7,13-11-2025,80,88,80,82,113.475.200,9.304.966.400,0.00%,10.00%,0.00%,2.50%,10.00%,10.23%,SLIS
8,12-11-2025,80,81,79,80,8.472.700,677.816.000,0.00%,1.25%,-1.25%,0.00%,1.25%,3.70%,SLIS
9,11-11-2025,80,81,78,80,21.361.500,1.708.920.000,0.00%,1.25%,-2.50%,0.00%,1.25%,2.47%,SLIS
10,10-11-2025,80,83,79,80,29.753.500,2.380.280.000,0.00%,3.75%,-1.25%,0.00%,3.75%,4.82%,SLIS
11,07-11-2025,81,81,79,80,9.772.400,781.792.000,1.25%,1.25%,-1.25%,0.00%,0.00%,2.47%,SLIS
12,06-11-2025,80,81,79,80,12.931.500,1.034.520.000,1.27%,2.53%,0.00%,1.27%,1.25%,2.47%,SLIS
13,05-11-2025,79,85,79,79,55.723.700,4.402.172.300,-1.25%,6.25%,-1.25%,-1.25%,7.59%,7.06%,SLIS
14,04-11-2025,83,83,79,80,18.770.300,1.501.624.000,2.47%,2.47%,-2.47%,-1.23%,0.00%,4.82%,SLIS
15,03-11-2025,82,84,79,81,42.928.900,3.477.240.900,2.50%,5.00%,-1.25%,1.25%,2.44%,7.14%,SLIS
16,31-10-2025,78,82,78,80,32.327.600,2.586.208.000,-2.50%,2.50%,-2.50%,0.00%,5.13%,6.10%,SLIS
17,30-10-2025,81,82,77,80,45.066.400,3.605.312.000,0.00%,1.23%,-4.94%,-1.23%,1.23%,1.22%,SLIS
18,29-10-2025,89,90,81,81,306.472.400,24.824.264.400,-6.32%,-5.26%,-14.74%,-14.74%,1.12%,22.22%,SLIS
19,28-10-2025,72,95,70,95,926.490.100,88.016.559.500,1.41%,33.80%,-1.41%,33.80%,31.94%,28.42%,SLIS
20,27-10-2025,77,78,68,71,37.252.900,2.644.955.900,0.00%,1.30%,-11.69%,-7.79%,1.30%,2.56%,SLIS
21,24-10-2025,82,83,76,77,42.872.800,3.301.205.600,0.00%,1.22%,-7.32%,-6.10%,1.22%,3.61%,SLIS
22,23-10-2025,80,86,80,82,27.707.100,2.271.982.200,0.00%,7.50%,0.00%,2.50%,7.50%,8.14%,SLIS
23,22-10-2025,84,84,79,80,24.140.200,1.931.216.000,1.20%,1.20%,-4.82%,-3.61%,0.00%,2.38%,SLIS
24,21-10-2025,84,89,82,83,28.895.400,2.398.318.200,1.20%,7.23%,-1.20%,0.00%,5.95%,10.11%,SLIS
25,20-10-2025,82,85,80,83,14.114.300,1.171.486.900,1.23%,4.94%,-1.23%,2.47%,3.66%,4.71%,SLIS
26,17-10-2025,87,88,81,81,12.864.900,1.042.056.900,2.35%,3.53%,-4.71%,-4.71%,1.15%,7.95%,SLIS
27,16-10-2025,82,88,81,85,19.807.900,1.683.671.500,0.00%,7.32%,-1.22%,3.66%,7.32%,9.09%,SLIS
28,15-10-2025,85,86,80,82,20.972.400,1.719.736.800,1.19%,2.38%,-4.76%,-2.38%,1.18%,4.65%,SLIS
29,14-10-2025,90,91,82,84,42.657.800,3.583.255.200,0.00%,1.11%,-8.89%,-6.67%,1.11%,4.40%,SLIS
30,13-10-2025,91,92,87,90,55.822.300,5.024.007.000,-3.19%,-2.13%,-7.45%,-4.26%,1.10%,6.52%,SLIS
31,10-10-2025,86,103,86,94,411.189.100,38.651.775.400,2.38%,22.62%,2.38%,11.90%,19.77%,19.42%,SLIS
32,09-10-2025,84,88,83,84,13.130.700,1.102.978.800,1.20%,6.02%,0.00%,1.20%,4.76%,6.82%,SLIS
33,08-10-2025,89,89,82,83,19.776.200,1.641.424.600,2.30%,2.30%,-5.75%,-4.60%,0.00%,5.62%,SLIS
34,07-10-2025,85,92,84,87,56.330.300,4.900.736.100,0.00%,8.24%,-1.18%,2.35%,8.24%,8.70%,SLIS
35,06-10-2025,89,89,84,85,26.600.500,2.261.042.500,1.14%,1.14%,-4.55%,-3.41%,0.00%,2.25%,SLIS
36,03-10-2025,91,91,87,88,31.809.400,2.799.227.200,2.25%,2.25%,-2.25%,-1.12%,0.00%,2.20%,SLIS
37,02-10-2025,92,94,89,89,26.987.300,2.401.869.700,1.10%,3.30%,-2.20%,-2.20%,2.17%,4.26%,SLIS
38,01-10-2025,92,93,90,91,11.494.500,1.045.999.500,1.10%,2.20%,-1.10%,0.00%,1.09%,3.23%,SLIS
39,30-09-2025,93,94,90,91,23.659.100,2.152.978.100,0.00%,1.08%,-3.23%,-2.15%,1.08%,3.19%,SLIS
40,29-09-2025,96,97,91,93,49.746.700,4.626.443.100,-1.03%,0.00%,-6.19%,-4.12%,1.04%,11.34%,SLIS
41,26-09-2025,88,103,86,97,291.112.900,28.237.951.300,0.00%,17.05%,-2.27%,10.23%,17.05%,18.45%,SLIS
42,25-09-2025,89,92,84,88,39.497.300,3.475.762.400,0.00%,3.37%,-5.62%,-1.12%,3.37%,3.26%,SLIS
43,24-09-2025,93,94,89,89,33.621.600,2.992.322.400,0.00%,1.08%,-4.30%,-4.30%,1.08%,2.13%,SLIS
44,23-09-2025,94,95,92,93,36.813.800,3.423.683.400,0.00%,1.06%,-2.13%,-1.06%,1.06%,1.05%,SLIS
45,22-09-2025,101,101,94,94,50.317.100,4.729.807.400,2.02%,2.02%,-5.05%,-5.05%,0.00%,1.98%,SLIS
46,19-09-2025,101,105,99,99,40.067.400,3.966.672.600,1.00%,5.00%,-1.00%,-1.00%,3.96%,6.67%,SLIS
