col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMAR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMAR
1,21-11-2025,5.075,5.100,5.000,5.000,211.000,1.055.000.000,0.00%,0.49%,-1.48%,-1.48%,0.49%,0.49%,SMAR
2,20-11-2025,5.225,5.225,5.075,5.075,227.100,1.152.532.500,2.45%,2.45%,-0.49%,-0.49%,0.00%,3.83%,SMAR
3,19-11-2025,5.025,5.350,5.025,5.100,251.100,1.280.610.000,-1.47%,4.90%,-1.47%,0.00%,6.47%,6.73%,SMAR
4,18-11-2025,5.050,5.225,4.990,5.100,371.300,1.893.630.000,0.00%,3.47%,-1.19%,0.99%,3.47%,3.83%,SMAR
5,17-11-2025,5.050,5.125,5.025,5.050,52.200,263.610.000,0.00%,1.49%,-0.50%,0.00%,1.49%,1.46%,SMAR
6,14-11-2025,5.125,5.125,5.050,5.050,52.900,267.145.000,0.00%,0.00%,-1.46%,-1.46%,0.00%,0.98%,SMAR
7,13-11-2025,5.125,5.150,5.075,5.125,46.700,239.337.500,0.00%,0.49%,-0.98%,0.00%,0.49%,2.91%,SMAR
8,12-11-2025,5.100,5.125,5.000,5.125,89.700,459.712.500,0.49%,0.99%,-1.48%,0.99%,0.49%,1.46%,SMAR
9,11-11-2025,5.150,5.175,5.050,5.075,146.600,743.995.000,0.00%,0.49%,-1.94%,-1.46%,0.49%,1.45%,SMAR
10,10-11-2025,5.125,5.200,5.100,5.150,83.600,430.540.000,0.49%,1.96%,0.00%,0.98%,1.46%,1.92%,SMAR
11,07-11-2025,5.175,5.200,5.100,5.100,81.500,415.650.000,0.98%,1.46%,-0.49%,-0.49%,0.48%,2.88%,SMAR
12,06-11-2025,5.200,5.225,5.050,5.125,37.900,194.237.500,0.00%,0.48%,-2.88%,-1.44%,0.48%,1.44%,SMAR
13,05-11-2025,5.200,5.225,5.150,5.200,48.400,251.680.000,0.00%,0.48%,-0.96%,0.00%,0.48%,0.96%,SMAR
14,04-11-2025,5.200,5.250,5.175,5.200,76.900,399.880.000,-0.95%,0.00%,-1.43%,-0.95%,0.96%,1.90%,SMAR
15,03-11-2025,5.250,5.400,5.150,5.250,68.900,361.725.000,0.48%,3.35%,-1.44%,0.48%,2.86%,3.24%,SMAR
16,31-10-2025,5.500,5.500,5.225,5.225,283.000,1.478.675.000,6.28%,6.28%,0.97%,0.97%,0.00%,7.73%,SMAR
17,30-10-2025,5.075,5.175,5.075,5.175,48.200,249.435.000,-0.98%,0.98%,-0.98%,0.98%,1.97%,2.42%,SMAR
18,29-10-2025,5.100,5.200,5.050,5.125,76.500,392.062.500,0.49%,2.46%,-0.49%,0.99%,1.96%,3.85%,SMAR
19,28-10-2025,5.200,5.200,5.000,5.075,109.700,556.727.500,0.48%,0.48%,-3.38%,-1.93%,0.00%,2.88%,SMAR
20,27-10-2025,5.325,5.325,5.050,5.175,249.300,1.290.127.500,-0.93%,-0.93%,-6.05%,-3.72%,0.00%,0.94%,SMAR
21,24-10-2025,5.425,5.600,5.275,5.375,257.700,1.385.137.500,0.00%,3.23%,-2.76%,-0.92%,3.23%,6.25%,SMAR
22,23-10-2025,5.300,5.525,5.250,5.425,407.600,2.211.230.000,2.42%,6.76%,1.45%,4.83%,4.25%,9.50%,SMAR
23,22-10-2025,5.125,5.300,5.000,5.175,225.700,1.167.997.500,0.49%,3.92%,-1.96%,1.47%,3.41%,5.66%,SMAR
24,21-10-2025,5.075,5.400,5.000,5.100,209.800,1.069.980.000,0.50%,6.93%,-0.99%,0.99%,6.40%,7.78%,SMAR
25,20-10-2025,4.990,5.100,4.980,5.050,84.000,424.200.000,0.00%,2.20%,-0.20%,1.20%,2.20%,2.94%,SMAR
26,17-10-2025,5.300,5.450,4.950,4.990,422.300,2.107.277.000,0.95%,3.81%,-5.71%,-4.95%,2.83%,10.09%,SMAR
27,16-10-2025,4.960,5.675,4.900,5.250,920.500,4.832.625.000,1.85%,16.53%,0.62%,7.80%,14.42%,14.54%,SMAR
28,15-10-2025,4.900,4.990,4.850,4.870,22.600,110.062.000,0.00%,1.84%,-1.02%,-0.61%,1.84%,3.01%,SMAR
29,14-10-2025,5.025,5.075,4.840,4.900,192.300,942.270.000,0.00%,1.00%,-3.68%,-2.49%,1.00%,4.63%,SMAR
30,13-10-2025,5.000,5.150,4.840,5.025,220.700,1.109.017.500,0.00%,3.00%,-3.20%,0.50%,3.00%,4.47%,SMAR
31,10-10-2025,4.920,5.075,4.920,5.000,210.800,1.054.000.000,1.44%,4.64%,1.44%,3.09%,3.15%,6.40%,SMAR
32,09-10-2025,4.750,4.950,4.750,4.850,243.400,1.180.490.000,0.00%,4.21%,0.00%,2.11%,4.21%,4.24%,SMAR
33,08-10-2025,4.830,4.950,4.740,4.750,187.600,891.100.000,0.00%,2.48%,-1.86%,-1.66%,2.48%,2.42%,SMAR
34,07-10-2025,4.940,5.000,4.830,4.830,140.000,676.200.000,0.00%,1.21%,-2.23%,-2.23%,1.21%,1.80%,SMAR
35,06-10-2025,5.175,5.175,4.910,4.940,497.800,2.459.132.000,0.00%,0.00%,-5.12%,-4.54%,0.00%,0.48%,SMAR
36,03-10-2025,5.275,5.325,5.150,5.175,151.400,783.495.000,0.48%,1.43%,-1.90%,-1.43%,0.95%,1.41%,SMAR
37,02-10-2025,5.250,5.350,5.250,5.250,110.200,578.550.000,0.00%,1.90%,0.00%,0.00%,1.90%,1.87%,SMAR
38,01-10-2025,5.325,5.375,5.250,5.250,270.800,1.421.700.000,-0.93%,0.00%,-2.33%,-2.33%,0.94%,0.00%,SMAR
39,30-09-2025,5.525,5.525,5.375,5.375,115.100,618.662.500,0.00%,0.00%,-2.71%,-2.71%,0.00%,0.45%,SMAR
40,29-09-2025,5.600,5.625,5.500,5.525,209.400,1.156.935.000,0.90%,1.35%,-0.90%,-0.45%,0.45%,2.22%,SMAR
41,26-09-2025,5.575,6.075,5.500,5.550,577.300,3.204.015.000,0.90%,9.95%,-0.45%,0.45%,8.97%,13.99%,SMAR
42,25-09-2025,5.300,5.700,5.225,5.525,436.300,2.410.557.500,0.00%,7.55%,-1.42%,4.25%,7.55%,9.65%,SMAR
43,24-09-2025,5.325,5.425,5.150,5.300,165.000,874.500.000,0.47%,2.36%,-2.83%,0.00%,1.88%,4.61%,SMAR
44,23-09-2025,5.375,5.375,5.175,5.300,239.400,1.268.820.000,0.00%,0.00%,-3.72%,-1.40%,0.00%,0.47%,SMAR
45,22-09-2025,5.475,5.500,5.350,5.375,124.700,670.262.500,0.00%,0.46%,-2.28%,-1.83%,0.46%,1.82%,SMAR
46,19-09-2025,5.550,5.600,5.400,5.475,88.100,482.347.500,0.91%,1.82%,-1.82%,-0.45%,0.90%,1.79%,SMAR
47,18-09-2025,5.675,5.700,5.500,5.500,126.500,695.750.000,0.89%,1.33%,-2.22%,-2.22%,0.44%,4.39%,SMAR
48,17-09-2025,5.450,5.800,5.450,5.625,273.500,1.538.437.500,0.00%,6.42%,0.00%,3.21%,6.42%,6.90%,SMAR
49,16-09-2025,5.600,5.625,5.400,5.450,118.900,648.005.000,0.90%,1.35%,-2.70%,-1.80%,0.45%,5.78%,SMAR
50,15-09-2025,5.650,5.650,5.300,5.550,220.300,1.222.665.000,0.00%,0.00%,-6.19%,-1.77%,0.00%,0.88%,SMAR
51,12-09-2025,5.675,5.725,5.600,5.650,159.300,900.045.000,0.00%,0.88%,-1.32%,-0.44%,0.88%,6.55%,SMAR
52,11-09-2025,5.450,5.750,5.350,5.675,287.500,1.631.562.500,0.93%,6.48%,-0.93%,5.09%,5.50%,13.04%,SMAR
53,10-09-2025,5.275,5.475,5.000,5.400,375.300,2.026.620.000,0.00%,3.79%,-5.21%,2.37%,3.79%,8.68%,SMAR
54,09-09-2025,5.500,5.500,5.000,5.275,902.300,4.759.632.500,-1.79%,-1.79%,-10.71%,-5.80%,0.00%,-0.45%,SMAR
55,08-09-2025,5.850,5.850,5.525,5.600,341.100,1.910.160.000,0.00%,0.00%,-5.56%,-4.27%,0.00%,2.99%,SMAR
56,04-09-2025,6.000,6.000,5.675,5.850,188.200,1.100.970.000,0.42%,0.42%,-5.02%,-2.09%,0.00%,2.92%,SMAR
57,03-09-2025,6.050,6.100,5.825,5.975,210.800,1.259.530.000,0.00%,0.83%,-3.72%,-1.24%,0.83%,3.69%,SMAR
58,02-09-2025,5.875,6.150,5.875,6.050,276.300,1.671.615.000,1.29%,6.03%,1.29%,4.31%,4.68%,14.63%,SMAR
59,01-09-2025,5.250,6.000,5.250,5.800,456.600,2.648.280.000,-13.93%,-1.64%,-13.93%,-4.92%,14.29%,6.67%,SMAR
60,29-08-2025,6.250,6.350,5.600,6.100,644.100,3.929.010.000,1.21%,2.83%,-9.31%,-1.21%,1.60%,5.91%,SMAR
61,28-08-2025,6.100,6.500,5.975,6.175,912.000,5.631.600.000,0.83%,7.44%,-1.24%,2.07%,6.56%,11.54%,SMAR
62,27-08-2025,6.400,6.400,5.750,6.050,1.024.800,6.200.040.000,0.79%,0.79%,-9.45%,-4.72%,0.00%,3.91%,SMAR
63,26-08-2025,6.875,6.875,6.150,6.350,931.700,5.916.295.000,0.00%,0.00%,-10.55%,-7.64%,0.00%,3.64%,SMAR
64,25-08-2025,6.625,7.250,6.625,6.875,1.551.800,10.668.625.000,0.00%,9.43%,0.00%,3.77%,9.43%,21.38%,SMAR
65,22-08-2025,7.250,7.250,5.700,6.625,4.147.500,27.477.187.500,19.83%,19.83%,-5.79%,9.50%,0.00%,31.59%,SMAR
66,21-08-2025,4.960,6.050,4.960,6.050,1.185.400,7.171.670.000,2.27%,24.74%,2.27%,24.74%,21.98%,27.11%,SMAR
67,20-08-2025,4.410,4.950,4.410,4.850,956.400,4.638.540.000,0.46%,12.76%,0.46%,10.48%,12.24%,16.57%,SMAR
68,19-08-2025,4.130,4.470,4.130,4.390,969.000,4.253.910.000,0.00%,8.23%,0.00%,6.30%,8.23%,7.61%,SMAR
69,15-08-2025,4.250,4.300,4.130,4.130,244.800,1.011.024.000,0.00%,1.18%,-2.82%,-2.82%,1.18%,4.19%,SMAR
70,14-08-2025,4.130,4.480,4.120,4.250,514.600,2.187.050.000,0.00%,8.47%,-0.24%,2.91%,8.47%,8.48%,SMAR
71,13-08-2025,4.180,4.180,4.100,4.130,85.600,353.528.000,0.00%,0.00%,-1.91%,-1.20%,0.00%,1.91%,SMAR
72,12-08-2025,4.150,4.200,4.100,4.180,217.700,909.986.000,0.00%,1.20%,-1.20%,0.72%,1.20%,4.29%,SMAR
73,11-08-2025,4.020,4.290,4.020,4.150,326.900,1.356.635.000,0.25%,6.98%,0.25%,3.49%,6.72%,9.79%,SMAR
74,08-08-2025,3.870,4.180,3.870,4.010,346.800,1.390.668.000,0.00%,8.01%,0.00%,3.62%,8.01%,7.66%,SMAR
