col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMBR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMBR
1,21-11-2025,282,286,280,282,6.864.900,1.935.901.800,0.00%,1.42%,-0.71%,0.00%,1.42%,1.40%,SMBR
2,20-11-2025,284,290,282,282,7.959.400,2.244.550.800,0.00%,2.11%,-0.70%,-0.70%,2.11%,2.76%,SMBR
3,19-11-2025,284,290,282,284,11.720.500,3.328.622.000,-0.70%,1.40%,-1.40%,-0.70%,2.11%,2.76%,SMBR
4,18-11-2025,292,292,282,286,13.398.100,3.831.856.600,0.69%,0.69%,-2.76%,-1.38%,0.00%,0.68%,SMBR
5,17-11-2025,290,302,290,290,22.950.700,6.655.703.000,0.00%,4.14%,0.00%,0.00%,4.14%,3.97%,SMBR
6,14-11-2025,292,298,290,290,12.863.300,3.730.357.000,0.00%,2.05%,-0.68%,-0.68%,2.05%,2.01%,SMBR
7,13-11-2025,298,298,292,292,7.543.500,2.202.702.000,0.68%,0.68%,-1.35%,-1.35%,0.00%,2.68%,SMBR
8,12-11-2025,294,300,290,296,12.944.500,3.831.572.000,0.68%,2.74%,-0.68%,1.37%,2.04%,3.33%,SMBR
9,11-11-2025,294,304,290,292,36.945.400,10.788.056.800,1.38%,4.83%,0.00%,0.69%,3.40%,4.61%,SMBR
10,10-11-2025,302,302,290,290,26.157.300,7.585.617.000,0.67%,0.67%,-3.33%,-3.33%,0.00%,4.64%,SMBR
11,07-11-2025,292,310,288,300,91.352.500,27.405.750.000,0.00%,6.16%,-1.37%,2.74%,6.16%,7.74%,SMBR
12,06-11-2025,288,292,286,292,13.459.300,3.930.115.600,0.00%,1.39%,-0.69%,1.39%,1.39%,4.11%,SMBR
13,05-11-2025,284,290,280,288,6.058.300,1.744.790.400,-0.70%,1.40%,-2.10%,0.70%,2.11%,2.76%,SMBR
14,04-11-2025,288,290,282,286,8.246.900,2.358.613.400,-0.69%,0.00%,-2.76%,-1.38%,0.69%,2.76%,SMBR
15,03-11-2025,286,290,282,290,18.485.800,5.360.882.000,1.42%,2.84%,0.00%,2.84%,1.40%,4.83%,SMBR
16,31-10-2025,284,286,276,282,9.292.300,2.620.428.600,0.00%,0.70%,-2.82%,-0.70%,0.70%,3.50%,SMBR
