col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMGA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMGA
1,21-11-2025,105,105,101,102,34.838.400,3.553.516.800,0.00%,0.00%,-3.81%,-2.86%,0.00%,6.67%,SMGA
2,20-11-2025,100,107,98,105,148.547.400,15.597.477.000,0.00%,7.00%,-2.00%,5.00%,7.00%,6.54%,SMGA
3,19-11-2025,101,103,100,100,27.165.700,2.716.570.000,0.00%,1.98%,-0.99%,-0.99%,1.98%,1.94%,SMGA
4,18-11-2025,107,107,101,101,88.218.700,8.910.088.700,0.94%,0.94%,-4.72%,-4.72%,0.00%,1.87%,SMGA
5,17-11-2025,108,108,105,106,26.098.000,2.766.388.000,0.00%,0.00%,-2.78%,-1.85%,0.00%,1.85%,SMGA
6,14-11-2025,110,110,106,108,27.774.100,2.999.602.800,0.92%,0.92%,-2.75%,-0.92%,0.00%,2.73%,SMGA
7,13-11-2025,111,113,107,109,44.839.800,4.887.538.200,0.00%,1.80%,-3.60%,-1.80%,1.80%,2.65%,SMGA
8,12-11-2025,110,113,110,111,40.004.500,4.440.499.500,0.92%,3.67%,0.92%,1.83%,2.73%,6.19%,SMGA
9,11-11-2025,112,112,106,109,58.232.800,6.347.375.200,0.00%,0.00%,-5.36%,-2.68%,0.00%,2.68%,SMGA
10,10-11-2025,116,116,109,112,118.665.800,13.290.569.600,0.00%,0.00%,-6.03%,-3.45%,0.00%,0.86%,SMGA
11,07-11-2025,120,120,115,116,66.502.100,7.714.243.600,0.00%,0.00%,-4.17%,-3.33%,0.00%,0.83%,SMGA
12,06-11-2025,131,131,119,120,156.882.600,18.825.912.000,1.55%,1.55%,-7.75%,-6.98%,0.00%,6.11%,SMGA
13,05-11-2025,128,130,123,129,68.879.800,8.885.494.200,0.00%,1.56%,-3.91%,0.78%,1.56%,1.54%,SMGA
14,04-11-2025,138,138,128,128,128.754.200,16.480.537.600,0.00%,0.00%,-7.25%,-7.25%,0.00%,1.45%,SMGA
15,03-11-2025,144,155,136,138,336.446.000,46.429.548.000,5.11%,13.14%,-0.73%,0.73%,7.64%,13.55%,SMGA
16,31-10-2025,138,141,134,137,118.367.100,16.216.292.700,-2.82%,-0.70%,-5.63%,-3.52%,2.17%,3.55%,SMGA
17,30-10-2025,139,147,136,142,252.655.500,35.877.081.000,0.00%,5.76%,-2.16%,2.16%,5.76%,14.29%,SMGA
18,29-10-2025,134,139,126,139,203.777.300,28.325.044.700,1.52%,5.30%,-4.55%,5.30%,3.73%,8.63%,SMGA
19,28-10-2025,131,141,127,132,252.768.700,33.365.468.400,0.00%,7.63%,-3.05%,0.76%,7.63%,11.35%,SMGA
20,27-10-2025,132,134,125,131,124.893.800,16.361.087.800,0.00%,1.52%,-5.30%,-0.76%,1.52%,8.21%,SMGA
21,24-10-2025,125,134,123,132,145.140.900,19.158.598.800,0.00%,7.20%,-1.60%,5.60%,7.20%,8.96%,SMGA
