col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMIL
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMIL
1,21-11-2025,492,494,480,494,110.905.400,54.787.267.600,0.00%,0.41%,-2.44%,0.41%,0.41%,0.81%,SMIL
2,20-11-2025,492,498,490,492,88.570.400,43.576.636.800,0.00%,1.22%,-0.41%,0.00%,1.22%,2.81%,SMIL
3,19-11-2025,486,494,484,492,97.718.800,48.077.649.600,0.00%,1.65%,-0.41%,1.23%,1.65%,2.83%,SMIL
4,18-11-2025,486,486,480,486,84.274.800,40.957.552.800,0.00%,0.00%,-1.23%,0.00%,0.00%,3.29%,SMIL
5,17-11-2025,478,486,470,486,153.782.400,74.738.246.400,-0.42%,1.25%,-2.08%,1.25%,1.67%,3.70%,SMIL
6,14-11-2025,486,486,468,480,109.936.200,52.769.376.000,-0.82%,-0.82%,-4.49%,-2.04%,0.00%,2.06%,SMIL
7,13-11-2025,486,490,476,490,135.131.000,66.214.190.000,0.00%,0.82%,-2.06%,0.82%,0.82%,4.49%,SMIL
8,12-11-2025,470,486,468,486,172.935.000,84.046.410.000,0.00%,3.40%,-0.43%,3.40%,3.40%,5.35%,SMIL
9,11-11-2025,472,474,460,470,132.373.800,62.215.686.000,0.00%,0.42%,-2.54%,-0.42%,0.42%,4.64%,SMIL
10,10-11-2025,454,472,452,472,174.196.500,82.220.748.000,0.00%,3.96%,-0.44%,3.96%,3.96%,4.24%,SMIL
11,07-11-2025,452,458,452,454,79.301.500,36.002.881.000,0.00%,1.33%,0.00%,0.44%,1.33%,4.37%,SMIL
12,06-11-2025,440,454,438,452,92.974.900,42.024.654.800,0.00%,3.18%,-0.45%,2.73%,3.18%,5.73%,SMIL
13,05-11-2025,436,440,428,440,76.140.000,33.501.600.000,-0.46%,0.46%,-2.28%,0.46%,0.92%,6.36%,SMIL
14,04-11-2025,426,438,412,438,188.283.900,82.468.348.200,-0.47%,2.34%,-3.74%,2.34%,2.82%,2.74%,SMIL
15,03-11-2025,505,505,426,428,415.811.500,177.967.322.000,1.00%,1.00%,-14.80%,-14.40%,0.00%,7.72%,SMIL
16,31-10-2025,466,510,466,500,289.637.200,144.818.600.000,1.75%,11.35%,1.75%,9.17%,9.44%,12.55%,SMIL
17,30-10-2025,472,472,446,458,51.569.000,23.618.602.000,0.00%,0.00%,-5.51%,-2.97%,0.00%,13.56%,SMIL
18,29-10-2025,438,472,408,472,197.381.500,93.164.068.000,-6.41%,0.85%,-12.82%,0.85%,7.76%,0.85%,SMIL
19,28-10-2025,550,555,468,468,304.031.900,142.286.929.200,0.00%,0.91%,-14.91%,-14.91%,0.91%,5.41%,SMIL
20,27-10-2025,600,600,525,550,149.146.800,82.030.740.000,0.00%,0.00%,-12.50%,-8.33%,0.00%,6.67%,SMIL
21,24-10-2025,600,625,560,600,175.772.100,105.463.260.000,0.00%,4.17%,-6.67%,0.00%,4.17%,7.20%,SMIL
22,23-10-2025,590,600,580,600,117.740.900,70.644.540.000,0.00%,1.69%,-1.69%,1.69%,1.69%,8.33%,SMIL
23,22-10-2025,575,590,550,590,107.549.500,63.454.205.000,0.00%,2.61%,-4.35%,2.61%,2.61%,6.78%,SMIL
24,21-10-2025,575,585,550,575,126.175.700,72.551.027.500,0.00%,1.74%,-4.35%,0.00%,1.74%,5.13%,SMIL
25,20-10-2025,555,580,555,575,105.002.100,60.376.207.500,0.00%,4.50%,0.00%,3.60%,4.50%,6.03%,SMIL
26,17-10-2025,590,590,545,555,84.528.200,46.913.151.000,0.85%,0.85%,-6.84%,-5.13%,0.00%,6.78%,SMIL
27,16-10-2025,555,590,550,585,103.241.300,60.396.160.500,0.00%,6.31%,-0.90%,5.41%,6.31%,8.47%,SMIL
28,15-10-2025,550,560,540,555,65.840.400,36.541.422.000,0.92%,2.75%,-0.92%,1.83%,1.82%,5.36%,SMIL
29,14-10-2025,545,570,530,545,131.016.100,71.403.774.500,0.00%,4.59%,-2.75%,0.00%,4.59%,7.89%,SMIL
30,13-10-2025,545,545,525,545,70.992.200,38.690.749.000,-0.91%,-0.91%,-4.55%,-0.91%,0.00%,1.83%,SMIL
31,10-10-2025,550,550,535,550,58.252.800,32.039.040.000,0.00%,0.00%,-2.73%,0.00%,0.00%,6.36%,SMIL
32,09-10-2025,535,565,515,550,147.584.600,81.171.530.000,0.00%,5.61%,-3.74%,2.80%,5.61%,20.00%,SMIL
33,08-10-2025,510,535,452,535,382.070.600,204.407.771.000,-3.77%,0.94%,-14.72%,0.94%,4.90%,3.74%,SMIL
34,07-10-2025,560,570,515,530,137.424.400,72.834.932.000,0.00%,1.79%,-8.04%,-5.36%,1.79%,7.89%,SMIL
35,06-10-2025,560,575,525,560,392.430.100,219.760.856.000,-8.94%,-6.50%,-14.63%,-8.94%,2.68%,-6.96%,SMIL
36,03-10-2025,650,690,615,615,280.233.600,172.343.664.000,-9.72%,-4.17%,-14.58%,-14.58%,6.15%,-4.35%,SMIL
37,02-10-2025,755,790,720,720,424.270.900,305.475.048.000,1.34%,6.04%,-3.36%,-3.36%,4.64%,5.70%,SMIL
38,01-10-2025,750,770,745,745,334.666.900,249.326.840.500,0.67%,3.36%,0.00%,0.00%,2.67%,9.09%,SMIL
39,30-09-2025,705,745,700,745,181.172.400,134.973.438.000,0.71%,6.43%,0.00%,6.43%,5.67%,12.75%,SMIL
40,29-09-2025,720,725,650,700,288.838.000,202.186.600.000,0.00%,0.69%,-9.72%,-2.78%,0.69%,2.07%,SMIL
41,26-09-2025,750,755,710,720,145.863.600,105.021.792.000,0.00%,0.67%,-5.33%,-4.00%,0.67%,2.65%,SMIL
42,25-09-2025,735,765,735,750,235.710.200,176.782.650.000,0.68%,4.79%,0.68%,2.74%,4.08%,6.54%,SMIL
43,24-09-2025,755,760,715,730,209.805.800,153.158.234.000,1.34%,2.01%,-4.03%,-2.01%,0.66%,6.58%,SMIL
44,23-09-2025,745,760,710,745,290.552.400,216.461.538.000,1.36%,3.40%,-3.40%,1.36%,2.01%,5.26%,SMIL
45,22-09-2025,730,750,720,735,318.796.400,234.315.354.000,1.39%,4.17%,0.00%,2.08%,2.74%,8.67%,SMIL
46,19-09-2025,690,730,685,720,221.062.500,159.165.000.000,0.00%,5.80%,-0.72%,4.35%,5.80%,6.85%,SMIL
47,18-09-2025,715,715,680,690,245.792.100,169.596.549.000,1.42%,1.42%,-3.55%,-2.13%,0.00%,6.29%,SMIL
48,17-09-2025,675,720,670,705,432.597.700,304.981.378.500,0.75%,7.46%,0.00%,5.22%,6.67%,11.81%,SMIL
49,16-09-2025,670,670,635,670,156.303.300,104.723.211.000,0.75%,0.75%,-4.51%,0.75%,0.00%,5.97%,SMIL
50,15-09-2025,630,680,630,665,301.771.700,200.678.180.500,0.00%,7.94%,0.00%,5.56%,7.94%,11.03%,SMIL
51,12-09-2025,655,675,605,630,256.154.500,161.377.335.000,0.77%,3.85%,-6.92%,-3.08%,3.05%,14.81%,SMIL
52,11-09-2025,575,700,575,650,574.699.600,373.554.740.000,0.88%,22.81%,0.88%,14.04%,21.74%,27.14%,SMIL
53,10-09-2025,525,575,510,570,260.142.800,148.281.396.000,1.94%,11.65%,-0.97%,10.68%,9.52%,13.04%,SMIL
54,09-09-2025,520,520,500,515,59.639.100,30.714.136.500,0.00%,0.00%,-3.85%,-0.96%,0.00%,1.92%,SMIL
55,08-09-2025,520,555,510,520,285.298.800,148.355.376.000,0.00%,6.73%,-1.92%,0.00%,6.73%,14.59%,SMIL
56,04-09-2025,484,530,474,520,168.958.100,87.858.212.000,-0.41%,9.05%,-2.47%,7.00%,9.50%,9.81%,SMIL
