col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMKM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMKM
1,21-11-2025,126,135,126,131,14.795.600,1.938.223.600,-2.33%,4.65%,-2.33%,1.55%,7.14%,8.15%,SMKM
2,20-11-2025,134,135,124,129,27.432.400,3.538.779.600,0.75%,1.50%,-6.77%,-3.01%,0.75%,3.70%,SMKM
3,19-11-2025,140,144,130,133,28.784.600,3.828.351.800,0.00%,2.86%,-7.14%,-5.00%,2.86%,4.17%,SMKM
4,18-11-2025,144,153,138,140,33.374.700,4.672.458.000,-0.69%,5.52%,-4.83%,-3.45%,6.25%,8.50%,SMKM
5,17-11-2025,148,150,140,145,13.786.100,1.998.984.500,-1.33%,0.00%,-6.67%,-3.33%,1.35%,2.67%,SMKM
6,14-11-2025,152,153,146,150,18.883.900,2.832.585.000,0.00%,0.66%,-3.95%,-1.32%,0.66%,1.96%,SMKM
7,13-11-2025,154,154,150,152,10.577.000,1.607.704.000,0.00%,0.00%,-2.60%,-1.30%,0.00%,1.95%,SMKM
8,12-11-2025,155,156,151,154,10.524.800,1.620.819.200,0.65%,1.30%,-1.95%,0.00%,0.65%,2.56%,SMKM
9,11-11-2025,158,158,152,154,19.357.300,2.981.024.200,0.64%,0.64%,-3.18%,-1.91%,0.00%,2.53%,SMKM
10,10-11-2025,160,162,154,157,21.614.700,3.393.507.900,0.63%,1.89%,-3.14%,-1.26%,1.25%,4.32%,SMKM
11,07-11-2025,175,181,155,159,39.889.400,6.342.414.600,6.06%,9.70%,-6.06%,-3.64%,3.43%,14.36%,SMKM
12,06-11-2025,155,165,155,165,43.835.900,7.232.923.500,3.33%,10.00%,3.33%,10.00%,6.45%,10.91%,SMKM
13,05-11-2025,160,160,147,150,20.683.400,3.102.510.000,1.27%,1.27%,-6.96%,-5.06%,0.00%,5.00%,SMKM
14,04-11-2025,165,165,152,158,12.346.300,1.950.715.400,4.43%,4.43%,-3.80%,0.00%,0.00%,7.88%,SMKM
15,03-11-2025,155,170,152,158,22.721.100,3.589.933.800,0.00%,9.68%,-1.94%,1.94%,9.68%,11.76%,SMKM
16,31-10-2025,155,158,150,155,13.277.500,2.058.012.500,0.00%,1.94%,-3.23%,0.00%,1.94%,8.86%,SMKM
17,30-10-2025,151,157,144,155,20.780.800,3.221.024.000,0.67%,4.67%,-4.00%,3.33%,3.97%,4.46%,SMKM
18,29-10-2025,159,159,150,150,41.961.600,6.294.240.000,-4.22%,-4.22%,-9.64%,-9.64%,0.00%,-3.14%,SMKM
19,28-10-2025,173,177,164,166,13.655.800,2.266.862.800,0.00%,2.31%,-5.20%,-4.05%,2.31%,6.78%,SMKM
20,27-10-2025,193,196,165,173,76.107.500,13.166.597.500,5.46%,7.10%,-9.84%,-5.46%,1.55%,14.80%,SMKM
21,24-10-2025,167,183,167,183,41.813.600,7.651.888.800,0.00%,9.58%,0.00%,9.58%,9.58%,20.22%,SMKM
22,23-10-2025,152,167,146,167,52.006.600,8.685.102.200,0.00%,9.87%,-3.95%,9.87%,9.87%,15.57%,SMKM
23,22-10-2025,155,165,141,152,51.448.200,7.820.126.400,-0.64%,5.77%,-9.62%,-2.56%,6.45%,5.45%,SMKM
24,21-10-2025,165,175,156,156,41.918.500,6.539.286.000,-2.37%,3.55%,-7.69%,-7.69%,6.06%,5.71%,SMKM
25,20-10-2025,171,184,165,169,12.490.200,2.110.843.800,0.59%,8.24%,-2.94%,-0.59%,7.60%,8.70%,SMKM
26,17-10-2025,186,188,168,170,31.889.100,5.421.147.000,0.54%,1.62%,-9.19%,-8.11%,1.08%,5.32%,SMKM
27,16-10-2025,185,194,178,185,27.109.500,5.015.257.500,0.00%,4.86%,-3.78%,0.00%,4.86%,7.22%,SMKM
28,15-10-2025,199,206,180,185,40.310.800,7.457.498.000,-0.50%,3.00%,-10.00%,-7.50%,3.52%,2.91%,SMKM
29,14-10-2025,222,244,200,200,103.129.000,20.625.800.000,0.00%,9.91%,-9.91%,-9.91%,9.91%,20.08%,SMKM
30,13-10-2025,236,236,195,222,139.298.600,30.924.289.200,9.26%,9.26%,-9.72%,2.78%,0.00%,14.41%,SMKM
31,10-10-2025,232,238,202,216,73.718.300,15.923.152.800,3.57%,6.25%,-9.82%,-3.57%,2.59%,18.91%,SMKM
32,09-10-2025,234,234,193,224,87.971.100,19.705.526.400,9.35%,9.35%,-9.81%,4.67%,0.00%,16.67%,SMKM
33,08-10-2025,197,214,195,214,32.256.900,6.902.976.600,1.03%,9.74%,0.00%,9.74%,8.63%,20.56%,SMKM
34,07-10-2025,182,195,170,195,64.142.400,12.507.768.000,2.25%,9.55%,-4.49%,9.55%,7.14%,12.82%,SMKM
35,06-10-2025,179,185,170,178,21.444.200,3.817.067.600,0.00%,3.35%,-5.03%,-0.56%,3.35%,9.73%,SMKM
36,03-10-2025,187,192,167,179,48.217.800,8.630.986.200,3.89%,6.67%,-7.22%,-0.56%,2.67%,7.29%,SMKM
37,02-10-2025,196,206,178,180,47.478.900,8.546.202.000,1.03%,6.19%,-8.25%,-7.22%,5.10%,12.14%,SMKM
38,01-10-2025,200,214,181,194,88.266.200,17.123.642.800,2.56%,9.74%,-7.18%,-0.51%,7.00%,24.77%,SMKM
39,30-09-2025,178,195,161,195,220.078.900,42.915.385.500,0.00%,9.55%,-9.55%,9.55%,9.55%,8.72%,SMKM
40,29-09-2025,195,195,178,178,16.216.500,2.886.537.000,-1.02%,-1.02%,-9.64%,-9.64%,0.00%,-1.03%,SMKM
41,26-09-2025,197,197,197,197,8.392.800,1.653.381.600,-9.63%,-9.63%,-9.63%,-9.63%,0.00%,-10.66%,SMKM
42,25-09-2025,238,238,218,218,13.960.800,3.043.454.400,-1.65%,-1.65%,-9.92%,-9.92%,0.00%,-1.68%,SMKM
43,24-09-2025,268,268,242,242,20.143.300,4.874.678.600,0.00%,0.00%,-9.70%,-9.70%,0.00%,0.00%,SMKM
44,23-09-2025,324,324,268,268,185.004.400,49.581.179.200,9.46%,9.46%,-9.46%,-9.46%,0.00%,8.64%,SMKM
45,22-09-2025,296,296,296,296,50.457.500,14.935.420.000,9.63%,9.63%,9.63%,9.63%,0.00%,8.78%,SMKM
46,19-09-2025,270,270,270,270,54.460.300,14.704.281.000,9.76%,9.76%,9.76%,9.76%,0.00%,8.89%,SMKM
47,18-09-2025,246,246,246,246,30.040.400,7.389.938.400,9.82%,9.82%,9.82%,9.82%,0.00%,18.70%,SMKM
48,17-09-2025,222,224,200,224,42.000.600,9.408.134.400,8.82%,9.80%,-1.96%,9.80%,0.90%,8.93%,SMKM
49,16-09-2025,204,204,204,204,53.504.800,10.914.979.200,9.09%,9.09%,9.09%,9.09%,0.00%,8.33%,SMKM
50,15-09-2025,187,187,187,187,22.546.800,4.216.251.600,10.00%,10.00%,10.00%,10.00%,0.00%,9.09%,SMKM
51,12-09-2025,170,170,170,170,12.387.600,2.105.892.000,9.68%,9.68%,9.68%,9.68%,0.00%,8.82%,SMKM
52,11-09-2025,155,155,155,155,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SMKM
53,10-09-2025,155,155,155,155,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SMKM
54,09-09-2025,155,155,155,155,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SMKM
55,08-09-2025,155,155,155,155,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SMKM
56,04-09-2025,155,155,155,155,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SMKM
57,03-09-2025,155,155,155,155,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SMKM
58,02-09-2025,155,155,155,155,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,18.06%,SMKM
59,01-09-2025,141,155,127,155,82.622.400,12.806.472.000,0.00%,9.93%,-9.93%,9.93%,9.93%,9.03%,SMKM
60,29-08-2025,141,141,141,141,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,17.02%,SMKM
61,28-08-2025,141,141,117,141,136.755.900,19.282.581.900,9.30%,9.30%,-9.30%,9.30%,0.00%,9.22%,SMKM
62,27-08-2025,128,129,128,129,10.301.500,1.328.893.500,8.47%,9.32%,8.47%,9.32%,0.78%,10.85%,SMKM
63,26-08-2025,118,118,115,118,11.442.300,1.350.191.400,9.26%,9.26%,6.48%,9.26%,0.00%,16.95%,SMKM
64,25-08-2025,99,108,98,108,60.176.300,6.499.040.400,0.00%,9.09%,-1.01%,9.09%,9.09%,17.59%,SMKM
65,22-08-2025,93,99,89,99,61.261.100,6.064.848.900,3.33%,10.00%,-1.11%,10.00%,6.45%,14.14%,SMKM
66,21-08-2025,91,91,85,90,21.092.200,1.898.298.000,5.81%,5.81%,-1.16%,4.65%,0.00%,8.79%,SMKM
67,20-08-2025,84,86,83,86,7.301.100,627.894.600,-1.18%,1.18%,-2.35%,1.18%,2.38%,4.65%,SMKM
68,19-08-2025,85,85,82,85,8.707.800,740.163.000,0.00%,0.00%,-3.53%,0.00%,0.00%,5.88%,SMKM
