col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMMA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMMA
1,21-11-2025,12.800,12.900,12.800,12.875,2.800,36.050.000,-0.78%,0.00%,-0.78%,-0.19%,0.78%,0.19%,SMMA
2,20-11-2025,12.875,13.150,12.875,12.900,6.600,85.140.000,-0.96%,1.15%,-0.96%,-0.77%,2.14%,3.61%,SMMA
3,19-11-2025,12.900,13.150,12.675,13.000,14.100,183.300.000,-0.77%,1.15%,-2.50%,0.00%,1.94%,2.47%,SMMA
4,18-11-2025,12.875,13.000,12.825,13.000,11.300,146.900.000,0.39%,1.36%,0.00%,1.36%,0.97%,1.35%,SMMA
5,17-11-2025,12.975,13.000,12.825,12.825,20.800,266.760.000,0.00%,0.19%,-1.16%,-1.16%,0.19%,2.50%,SMMA
6,14-11-2025,12.975,12.975,12.675,12.975,11.100,144.022.500,-0.19%,-0.19%,-2.50%,-0.19%,0.00%,3.08%,SMMA
7,13-11-2025,12.650,13.000,12.575,13.000,21.700,282.100.000,0.40%,3.17%,-0.20%,3.17%,2.77%,7.69%,SMMA
8,12-11-2025,13.100,13.100,12.000,12.600,142.800,1.799.280.000,0.19%,0.19%,-8.22%,-3.63%,0.00%,0.19%,SMMA
9,11-11-2025,13.500,13.500,13.075,13.075,8.400,109.830.000,0.00%,0.00%,-3.15%,-3.15%,0.00%,1.85%,SMMA
10,10-11-2025,13.300,13.500,13.250,13.500,14.900,201.150.000,0.00%,1.50%,-0.38%,1.50%,1.50%,3.33%,SMMA
11,07-11-2025,13.050,13.300,13.050,13.300,15.700,208.810.000,-1.88%,0.00%,-1.88%,0.00%,1.92%,1.50%,SMMA
12,06-11-2025,13.550,13.550,13.100,13.300,17.700,235.410.000,4.03%,4.03%,0.58%,2.11%,0.00%,5.35%,SMMA
