col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMMT
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMMT
1,21-11-2025,1.660,1.685,1.660,1.685,90.500,152.492.500,-1.78%,-0.30%,-1.78%,-0.30%,1.51%,2.08%,SMMT
2,20-11-2025,1.700,1.700,1.650,1.690,51.700,87.373.000,1.49%,1.49%,-1.49%,0.90%,0.00%,2.35%,SMMT
3,19-11-2025,1.680,1.700,1.660,1.675,111.900,187.432.500,0.30%,1.49%,-0.90%,0.00%,1.19%,2.65%,SMMT
4,18-11-2025,1.680,1.680,1.655,1.675,63.200,105.860.000,-1.18%,-1.18%,-2.65%,-1.47%,0.00%,2.38%,SMMT
5,17-11-2025,1.700,1.700,1.640,1.700,94.400,160.480.000,3.66%,3.66%,0.00%,3.66%,0.00%,4.71%,SMMT
6,14-11-2025,1.670,1.680,1.620,1.640,359.900,590.236.000,-0.89%,-0.30%,-3.86%,-2.67%,0.60%,1.49%,SMMT
7,13-11-2025,1.700,1.720,1.655,1.685,131.900,222.251.500,0.00%,1.18%,-2.65%,-0.88%,1.18%,4.07%,SMMT
8,12-11-2025,1.670,1.700,1.650,1.700,441.100,749.870.000,0.00%,1.80%,-1.20%,1.80%,1.80%,7.06%,SMMT
9,11-11-2025,1.705,1.705,1.580,1.670,565.900,945.053.000,0.00%,0.00%,-7.33%,-2.05%,0.00%,2.93%,SMMT
10,10-11-2025,1.750,1.750,1.655,1.705,568.300,968.951.500,2.34%,2.34%,-3.22%,-0.29%,0.00%,4.00%,SMMT
11,07-11-2025,1.900,1.900,1.680,1.710,2.656.100,4.541.931.000,0.00%,0.00%,-11.58%,-10.00%,0.00%,9.47%,SMMT
12,06-11-2025,1.740,1.975,1.720,1.900,1.598.700,3.037.530.000,1.16%,14.83%,0.00%,10.47%,13.51%,17.47%,SMMT
13,05-11-2025,1.650,1.745,1.630,1.720,425.600,732.032.000,-0.90%,4.80%,-2.10%,3.30%,5.76%,7.16%,SMMT
14,04-11-2025,1.710,1.745,1.620,1.665,319.700,532.300.500,0.00%,2.05%,-5.26%,-2.63%,2.05%,4.87%,SMMT
15,03-11-2025,1.895,1.915,1.660,1.710,1.563.700,2.673.927.000,0.26%,1.32%,-12.17%,-9.52%,1.06%,9.66%,SMMT
16,31-10-2025,1.790,2.060,1.730,1.890,922.500,1.743.525.000,0.00%,15.08%,-3.35%,5.59%,15.08%,16.75%,SMMT
17,30-10-2025,1.840,1.900,1.715,1.790,568.200,1.017.078.000,0.00%,3.26%,-6.79%,-2.72%,3.26%,4.21%,SMMT
18,29-10-2025,1.950,1.955,1.820,1.840,965.600,1.776.704.000,-0.76%,-0.51%,-7.38%,-6.36%,0.26%,13.81%,SMMT
19,28-10-2025,1.900,2.040,1.685,1.965,4.768.600,9.370.299.000,16.21%,24.77%,3.06%,20.18%,7.37%,28.92%,SMMT
20,27-10-2025,1.455,1.765,1.450,1.635,2.230.600,3.647.031.000,0.69%,22.15%,0.35%,13.15%,21.31%,23.51%,SMMT
21,24-10-2025,1.350,1.455,1.350,1.445,352.700,509.651.500,0.75%,8.58%,0.75%,7.84%,7.78%,8.25%,SMMT
22,23-10-2025,1.360,1.455,1.335,1.340,317.000,424.780.000,-1.09%,5.82%,-2.91%,-2.55%,6.99%,5.84%,SMMT
23,22-10-2025,1.400,1.400,1.370,1.375,57.600,79.200.000,0.00%,0.00%,-2.14%,-1.79%,0.00%,3.93%,SMMT
24,21-10-2025,1.345,1.450,1.345,1.400,208.000,291.200.000,-1.10%,6.62%,-1.10%,2.94%,7.81%,9.31%,SMMT
25,20-10-2025,1.340,1.400,1.315,1.360,453.400,616.624.000,0.00%,4.48%,-1.87%,1.49%,4.48%,4.64%,SMMT
26,17-10-2025,1.360,1.405,1.335,1.340,266.900,357.646.000,0.37%,3.69%,-1.48%,-1.11%,3.31%,5.34%,SMMT
27,16-10-2025,1.350,1.380,1.330,1.355,61.100,82.790.500,-1.82%,0.36%,-3.27%,-1.45%,2.22%,3.26%,SMMT
28,15-10-2025,1.375,1.380,1.335,1.375,61.400,84.425.000,3.38%,3.76%,0.38%,3.38%,0.36%,3.62%,SMMT
29,14-10-2025,1.400,1.485,1.330,1.330,842.200,1.120.126.000,1.08%,7.22%,-3.97%,-3.97%,6.07%,9.43%,SMMT
30,13-10-2025,1.360,1.415,1.345,1.385,178.600,247.361.000,-1.09%,2.91%,-2.18%,0.73%,4.04%,4.59%,SMMT
31,10-10-2025,1.430,1.430,1.350,1.375,391.000,537.625.000,1.42%,1.42%,-4.26%,-2.48%,0.00%,5.24%,SMMT
32,09-10-2025,1.410,1.590,1.355,1.410,920.800,1.298.328.000,4.44%,17.78%,0.37%,4.44%,12.77%,17.61%,SMMT
33,08-10-2025,1.400,1.400,1.310,1.350,402.900,543.915.000,2.94%,2.94%,-3.68%,-0.74%,0.00%,6.43%,SMMT
34,07-10-2025,1.420,1.435,1.310,1.360,1.059.800,1.441.328.000,0.71%,1.77%,-7.09%,-3.55%,1.06%,15.68%,SMMT
35,06-10-2025,1.210,1.500,1.210,1.410,5.255.500,7.410.255.000,0.83%,25.00%,0.83%,17.50%,23.97%,21.00%,SMMT
36,03-10-2025,1.260,1.300,1.185,1.200,973.800,1.168.560.000,5.88%,9.24%,-0.42%,0.84%,3.17%,10.77%,SMMT
37,02-10-2025,1.210,1.270,1.160,1.190,1.984.000,2.360.960.000,0.41%,5.39%,-3.73%,-1.24%,4.96%,11.02%,SMMT
38,01-10-2025,1.155,1.270,1.130,1.205,747.200,900.376.000,2.67%,12.89%,0.44%,7.11%,9.96%,13.78%,SMMT
39,30-09-2025,1.200,1.220,1.095,1.125,729.400,820.575.000,3.90%,5.63%,-5.19%,-2.60%,1.67%,5.74%,SMMT
40,29-09-2025,1.175,1.180,1.150,1.155,167.600,193.578.000,-0.42%,0.00%,-2.54%,-2.12%,0.43%,0.42%,SMMT
41,26-09-2025,1.300,1.300,1.175,1.180,137.100,161.778.000,12.07%,12.07%,1.29%,1.72%,0.00%,10.77%,SMMT
42,25-09-2025,1.200,1.200,1.160,1.160,77.100,89.436.000,0.00%,0.00%,-3.33%,-3.33%,0.00%,5.42%,SMMT
43,24-09-2025,1.135,1.380,1.135,1.200,679.900,815.880.000,0.00%,21.59%,0.00%,5.73%,21.59%,18.48%,SMMT
44,23-09-2025,1.125,1.185,1.125,1.135,109.400,124.169.000,3.21%,8.72%,3.21%,4.13%,5.33%,13.08%,SMMT
45,22-09-2025,1.190,1.190,1.030,1.090,576.500,628.385.000,0.00%,0.00%,-13.45%,-8.40%,0.00%,0.84%,SMMT
46,19-09-2025,1.195,1.195,1.180,1.190,165.200,196.588.000,0.42%,0.42%,-0.84%,0.00%,0.00%,1.26%,SMMT
47,18-09-2025,1.190,1.195,1.180,1.190,406.500,483.735.000,0.42%,0.84%,-0.42%,0.42%,0.42%,1.26%,SMMT
48,17-09-2025,1.200,1.210,1.180,1.185,672.400,796.794.000,0.00%,0.83%,-1.67%,-1.25%,0.83%,0.83%,SMMT
49,16-09-2025,1.210,1.215,1.200,1.200,517.400,620.880.000,0.00%,0.41%,-0.83%,-0.83%,0.41%,0.41%,SMMT
50,15-09-2025,1.210,1.240,1.210,1.210,262.300,317.383.000,0.00%,2.48%,0.00%,0.00%,2.48%,3.23%,SMMT
51,12-09-2025,1.210,1.215,1.200,1.210,224.800,272.008.000,0.41%,0.83%,-0.41%,0.41%,0.41%,3.70%,SMMT
52,11-09-2025,1.195,1.205,1.170,1.205,368.900,444.524.500,0.00%,0.84%,-2.09%,0.84%,0.84%,2.90%,SMMT
53,10-09-2025,1.270,1.365,1.170,1.195,1.892.200,2.261.179.000,0.00%,7.48%,-7.87%,-5.91%,7.48%,14.65%,SMMT
54,09-09-2025,1.310,1.345,1.165,1.270,792.400,1.006.348.000,0.38%,3.07%,-10.73%,-2.68%,2.67%,10.04%,SMMT
55,08-09-2025,1.210,1.510,1.210,1.305,3.888.200,5.074.101.000,0.00%,24.79%,0.00%,7.85%,24.79%,27.48%,SMMT
56,04-09-2025,1.095,1.270,1.095,1.210,1.336.500,1.617.165.000,0.46%,16.51%,0.46%,11.01%,15.98%,17.72%,SMMT
57,03-09-2025,1.045,1.100,1.045,1.090,195.000,212.550.000,1.95%,7.32%,1.95%,6.34%,5.26%,7.73%,SMMT
58,02-09-2025,1.055,1.100,1.015,1.025,50.200,51.455.000,4.46%,8.91%,0.50%,1.49%,4.27%,10.45%,SMMT
59,01-09-2025,1.060,1.060,985,1.010,158.200,159.782.000,0.00%,0.00%,-7.08%,-4.72%,0.00%,0.00%,SMMT
60,29-08-2025,1.115,1.115,1.060,1.060,64.100,67.946.000,2.29%,2.29%,-2.75%,-2.75%,0.00%,3.59%,SMMT
61,28-08-2025,1.145,1.175,1.075,1.090,582.400,634.816.000,2.23%,4.91%,-4.02%,-2.68%,2.62%,6.38%,SMMT
62,27-08-2025,1.100,1.300,1.100,1.120,983.500,1.101.520.000,-3.08%,14.54%,-3.08%,-1.32%,18.18%,23.08%,SMMT
63,26-08-2025,1.005,1.200,1.000,1.135,1.290.000,1.464.150.000,0.00%,19.40%,-0.50%,12.94%,19.40%,17.92%,SMMT
64,25-08-2025,1.000,1.005,985,1.005,93.700,94.168.500,0.00%,0.50%,-1.50%,0.50%,0.50%,3.48%,SMMT
65,22-08-2025,970,1.000,970,1.000,61.600,61.600.000,0.00%,3.09%,0.00%,3.09%,3.09%,3.50%,SMMT
66,21-08-2025,995,1.005,965,970,199.000,193.030.000,0.00%,1.01%,-3.02%,-2.51%,1.01%,3.48%,SMMT
67,20-08-2025,1.015,1.015,970,995,168.400,167.558.000,1.50%,1.50%,-3.00%,-0.50%,0.00%,4.93%,SMMT
68,19-08-2025,1.000,1.045,965,1.000,210.300,210.300.000,0.00%,4.50%,-3.50%,0.00%,4.50%,4.78%,SMMT
69,15-08-2025,995,1.010,995,1.000,41.000,41.000.000,0.00%,1.51%,0.00%,0.50%,1.51%,1.98%,SMMT
70,14-08-2025,995,1.000,990,995,70.100,69.749.500,0.00%,0.50%,-0.50%,0.00%,0.50%,3.50%,SMMT
71,13-08-2025,1.020,1.020,965,995,269.700,268.351.500,0.00%,0.00%,-5.39%,-2.45%,0.00%,2.94%,SMMT
72,12-08-2025,1.000,1.045,990,1.020,126.600,129.132.000,-0.50%,3.98%,-1.49%,1.49%,4.50%,5.74%,SMMT
73,11-08-2025,1.015,1.015,985,1.005,98.300,98.791.500,0.00%,0.00%,-2.96%,-0.99%,0.00%,2.46%,SMMT
74,08-08-2025,1.010,1.020,990,1.015,212.300,215.484.500,-0.98%,0.00%,-2.94%,-0.49%,0.99%,2.94%,SMMT
75,07-08-2025,1.090,1.090,990,1.020,462.500,471.750.000,2.83%,2.83%,-6.60%,-3.77%,0.00%,4.59%,SMMT
76,06-08-2025,1.130,1.130,1.040,1.060,671.900,712.214.000,0.00%,0.00%,-7.96%,-6.19%,0.00%,7.08%,SMMT
77,05-08-2025,1.200,1.200,1.050,1.130,899.800,1.016.774.000,0.84%,0.84%,-11.76%,-5.04%,0.00%,6.25%,SMMT
78,04-08-2025,1.290,1.300,1.125,1.190,811.000,965.090.000,5.31%,6.12%,-8.16%,-2.86%,0.78%,19.23%,SMMT
79,01-08-2025,1.165,1.250,1.050,1.225,1.065.600,1.305.360.000,1.30%,8.70%,-8.70%,6.52%,7.30%,10.40%,SMMT
80,31-07-2025,1.145,1.190,1.120,1.150,1.109.800,1.276.270.000,0.00%,3.93%,-2.18%,0.44%,3.93%,15.13%,SMMT
81,30-07-2025,1.095,1.160,1.010,1.145,2.093.800,2.397.401.000,-0.45%,5.45%,-8.18%,4.09%,5.94%,12.93%,SMMT
82,29-07-2025,1.280,1.355,1.010,1.100,5.214.000,5.735.400.000,17.97%,24.88%,-6.91%,1.38%,5.86%,33.58%,SMMT
83,28-07-2025,925,1.085,900,1.085,1.107.900,1.202.071.500,6.32%,24.71%,3.45%,24.71%,17.30%,19.82%,SMMT
84,25-07-2025,870,885,870,870,6.500,5.655.000,1.16%,2.91%,1.16%,1.16%,1.72%,3.95%,SMMT
85,24-07-2025,850,890,850,860,6.600,5.676.000,-0.58%,4.09%,-0.58%,0.58%,4.71%,3.93%,SMMT
86,23-07-2025,880,880,855,855,43.200,36.936.000,0.57%,0.57%,-2.29%,-2.29%,0.00%,1.14%,SMMT
87,22-07-2025,895,905,870,875,50.000,43.750.000,0.00%,1.12%,-2.79%,-2.23%,1.12%,7.18%,SMMT
88,21-07-2025,840,900,840,895,91.900,82.250.500,0.60%,7.78%,0.60%,7.19%,7.14%,7.78%,SMMT
89,18-07-2025,835,850,830,835,237.900,198.646.500,-0.60%,1.19%,-1.19%,-0.60%,1.80%,1.76%,SMMT
90,17-07-2025,840,850,835,840,62.200,52.248.000,0.00%,1.19%,-0.60%,0.00%,1.19%,1.18%,SMMT
91,16-07-2025,850,850,840,840,4.700,3.948.000,1.19%,1.19%,0.00%,0.00%,0.00%,1.18%,SMMT
92,15-07-2025,850,850,840,840,121.500,102.060.000,0.00%,0.00%,-1.18%,-1.18%,0.00%,1.18%,SMMT
93,14-07-2025,840,855,840,850,29.700,25.245.000,0.00%,1.79%,0.00%,1.19%,1.79%,1.75%,SMMT
94,11-07-2025,840,840,840,840,18.900,15.876.000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,SMMT
95,10-07-2025,840,880,840,840,14.100,11.844.000,0.00%,4.76%,0.00%,0.00%,4.76%,4.55%,SMMT
