col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMRA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMRA
1,21-11-2025,390,392,386,390,24.298.300,9.476.337.000,0.00%,0.51%,-1.03%,0.00%,0.51%,1.02%,SMRA
2,20-11-2025,392,394,388,390,22.646.100,8.831.979.000,0.51%,1.03%,-0.51%,0.00%,0.51%,1.02%,SMRA
3,19-11-2025,396,396,390,390,21.198.300,8.267.337.000,0.51%,0.51%,-1.02%,-1.02%,0.00%,1.52%,SMRA
4,18-11-2025,392,398,390,394,34.646.500,13.650.721.000,0.00%,1.53%,-0.51%,0.51%,1.53%,2.01%,SMRA
5,17-11-2025,390,396,390,392,20.798.900,8.153.168.800,0.00%,1.54%,0.00%,0.51%,1.54%,1.52%,SMRA
6,14-11-2025,394,394,390,390,25.380.700,9.898.473.000,0.00%,0.00%,-1.02%,-1.02%,0.00%,0.51%,SMRA
7,13-11-2025,398,398,392,394,15.707.900,6.188.912.600,1.02%,1.02%,-0.51%,0.00%,0.00%,1.51%,SMRA
8,12-11-2025,396,396,392,394,13.431.600,5.292.050.400,0.51%,0.51%,-0.51%,0.00%,0.00%,1.01%,SMRA
9,11-11-2025,396,398,392,394,26.117.200,10.290.176.800,0.51%,1.02%,-0.51%,0.00%,0.51%,1.01%,SMRA
10,10-11-2025,396,400,394,394,23.777.300,9.368.256.200,0.00%,1.01%,-0.51%,-0.51%,1.01%,2.00%,SMRA
11,07-11-2025,394,398,392,396,26.811.200,10.617.235.200,-0.51%,0.51%,-1.01%,0.00%,1.02%,1.51%,SMRA
12,06-11-2025,394,400,392,396,21.486.900,8.508.812.400,0.00%,1.52%,-0.51%,0.51%,1.52%,2.50%,SMRA
13,05-11-2025,396,396,390,394,55.627.400,21.917.195.600,-0.50%,-0.50%,-2.01%,-1.01%,0.00%,0.00%,SMRA
14,04-11-2025,402,404,396,398,28.015.000,11.149.970.000,0.50%,1.00%,-1.00%,-0.50%,0.50%,2.48%,SMRA
15,03-11-2025,396,402,394,400,22.509.200,9.003.680.000,1.02%,2.55%,0.51%,2.04%,1.52%,2.49%,SMRA
16,31-10-2025,394,402,392,392,41.993.200,16.461.334.400,0.00%,2.03%,-0.51%,-0.51%,2.03%,1.99%,SMRA
17,30-10-2025,404,404,394,394,48.691.300,19.184.372.200,0.50%,0.50%,-1.99%,-1.99%,0.00%,2.97%,SMRA
18,29-10-2025,396,404,392,402,35.531.700,14.283.743.400,0.51%,2.54%,-0.51%,2.03%,2.02%,2.97%,SMRA
19,28-10-2025,396,398,392,394,31.229.800,12.304.541.200,0.00%,0.51%,-1.01%,-0.51%,0.51%,2.51%,SMRA
20,27-10-2025,392,396,388,396,58.485.800,23.160.376.800,0.00%,1.02%,-1.02%,1.02%,1.02%,1.52%,SMRA
21,24-10-2025,394,398,390,392,49.497.300,19.402.941.600,0.51%,1.53%,-0.51%,0.00%,1.02%,2.51%,SMRA
22,23-10-2025,394,396,388,392,40.764.700,15.979.762.400,0.00%,0.51%,-1.52%,-0.51%,0.51%,1.52%,SMRA
23,22-10-2025,402,412,390,394,152.664.300,60.149.734.200,1.01%,3.52%,-2.01%,-1.01%,2.49%,5.83%,SMRA
24,21-10-2025,390,404,388,398,75.631.600,30.101.376.800,0.52%,4.12%,0.00%,2.58%,3.59%,5.94%,SMRA
25,20-10-2025,380,392,380,388,42.225.000,16.383.300.000,0.00%,3.16%,0.00%,2.11%,3.16%,3.57%,SMRA
26,17-10-2025,386,390,378,380,42.554.200,16.170.596.000,0.00%,1.04%,-2.07%,-1.55%,1.04%,3.08%,SMRA
27,16-10-2025,382,390,378,386,47.985.900,18.522.557.400,1.06%,3.17%,0.00%,2.12%,2.09%,3.08%,SMRA
28,15-10-2025,390,392,378,378,52.202.400,19.732.507.200,0.52%,1.03%,-2.58%,-2.58%,0.51%,1.02%,SMRA
29,14-10-2025,396,402,388,388,53.351.000,20.700.188.000,0.00%,1.52%,-2.02%,-2.02%,1.52%,2.49%,SMRA
30,13-10-2025,398,404,392,396,52.745.400,20.887.178.400,-1.00%,0.50%,-2.49%,-1.49%,1.51%,0.99%,SMRA
31,10-10-2025,412,412,400,402,35.371.700,14.219.423.400,0.98%,0.98%,-1.96%,-1.47%,0.00%,2.91%,SMRA
32,09-10-2025,404,416,400,408,54.247.200,22.132.857.600,0.00%,2.97%,-0.99%,0.99%,2.97%,4.33%,SMRA
33,08-10-2025,408,410,398,404,34.229.200,13.828.596.800,0.00%,0.49%,-2.45%,-0.98%,0.49%,1.46%,SMRA
34,07-10-2025,410,412,404,408,38.567.500,15.735.540.000,0.00%,0.49%,-1.46%,-0.49%,0.49%,2.91%,SMRA
35,06-10-2025,422,422,400,410,77.937.800,31.954.498.000,0.00%,0.00%,-5.21%,-2.84%,0.00%,0.47%,SMRA
36,03-10-2025,424,426,420,422,17.597.400,7.426.102.800,0.47%,0.95%,-0.47%,0.00%,0.47%,1.41%,SMRA
37,02-10-2025,426,428,420,422,25.951.500,10.951.533.000,0.95%,1.42%,-0.47%,0.00%,0.47%,1.87%,SMRA
38,01-10-2025,426,434,420,422,37.137.100,15.671.856.200,0.00%,1.88%,-1.41%,-0.94%,1.88%,1.84%,SMRA
