col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SMSM
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SMSM
1,21-11-2025,1.790,1.800,1.760,1.760,5.079.800,8.940.448.000,0.56%,1.12%,-1.12%,-1.12%,0.56%,1.11%,SMSM
2,20-11-2025,1.800,1.805,1.780,1.780,3.123.300,5.559.474.000,0.56%,0.84%,-0.56%,-0.56%,0.28%,1.39%,SMSM
3,19-11-2025,1.795,1.820,1.780,1.790,1.940.400,3.473.316.000,0.84%,2.25%,0.00%,0.56%,1.39%,2.20%,SMSM
4,18-11-2025,1.820,1.830,1.780,1.780,4.773.300,8.496.474.000,1.11%,1.67%,-1.11%,-1.11%,0.55%,1.91%,SMSM
5,17-11-2025,1.825,1.845,1.795,1.800,3.719.000,6.694.200.000,-0.82%,0.27%,-2.45%,-2.17%,1.10%,1.08%,SMSM
6,14-11-2025,1.840,1.850,1.825,1.840,1.382.200,2.543.248.000,0.27%,0.82%,-0.54%,0.27%,0.54%,0.81%,SMSM
7,13-11-2025,1.855,1.865,1.835,1.835,916.100,1.681.043.500,0.00%,0.54%,-1.08%,-1.08%,0.54%,1.34%,SMSM
8,12-11-2025,1.860,1.870,1.840,1.855,728.600,1.351.553.000,0.00%,0.54%,-1.08%,-0.27%,0.54%,1.60%,SMSM
9,11-11-2025,1.880,1.880,1.840,1.860,2.392.300,4.449.678.000,1.08%,1.08%,-1.08%,0.00%,0.00%,1.33%,SMSM
10,10-11-2025,1.900,1.900,1.855,1.860,2.365.900,4.400.574.000,-1.04%,-1.04%,-3.39%,-3.13%,0.00%,0.00%,SMSM
11,07-11-2025,1.910,1.925,1.900,1.920,1.008.900,1.937.088.000,0.00%,0.79%,-0.52%,0.52%,0.79%,2.34%,SMSM
12,06-11-2025,1.910,1.910,1.880,1.910,1.522.900,2.908.739.000,-0.26%,-0.26%,-1.83%,-0.26%,0.00%,1.57%,SMSM
13,05-11-2025,1.930,1.930,1.880,1.915,1.613.300,3.089.469.500,0.78%,0.78%,-1.83%,0.00%,0.00%,0.78%,SMSM
14,04-11-2025,1.940,1.945,1.915,1.915,1.497.700,2.868.095.500,0.26%,0.52%,-1.03%,-1.03%,0.26%,1.03%,SMSM
15,03-11-2025,1.945,1.950,1.925,1.935,1.425.500,2.758.342.500,1.30%,1.56%,0.26%,0.78%,0.26%,3.85%,SMSM
16,31-10-2025,1.890,1.925,1.875,1.920,1.792.800,3.442.176.000,1.61%,3.49%,0.81%,3.23%,1.85%,3.38%,SMSM
17,30-10-2025,1.870,1.900,1.860,1.860,1.487.200,2.766.192.000,-0.53%,1.06%,-1.06%,-1.06%,1.60%,2.37%,SMSM
18,29-10-2025,1.865,1.885,1.855,1.880,745.800,1.402.104.000,0.54%,1.62%,0.00%,1.35%,1.07%,2.65%,SMSM
19,28-10-2025,1.850,1.860,1.835,1.855,1.034.900,1.919.739.500,1.65%,2.20%,0.82%,1.92%,0.54%,2.42%,SMSM
20,27-10-2025,1.835,1.855,1.815,1.820,618.900,1.126.398.000,1.66%,2.77%,0.55%,0.83%,1.09%,2.70%,SMSM
21,24-10-2025,1.835,1.865,1.805,1.805,1.619.500,2.923.197.500,0.00%,1.63%,-1.63%,-1.63%,1.63%,3.49%,SMSM
22,23-10-2025,1.800,1.860,1.800,1.835,1.493.700,2.740.939.500,-0.55%,2.76%,-0.55%,1.38%,3.33%,3.23%,SMSM
23,22-10-2025,1.805,1.835,1.800,1.810,1.194.600,2.162.226.000,0.00%,1.66%,-0.28%,0.28%,1.66%,1.63%,SMSM
24,21-10-2025,1.850,1.850,1.805,1.805,594.900,1.073.794.500,2.78%,2.78%,0.28%,0.28%,0.00%,4.05%,SMSM
25,20-10-2025,1.790,1.835,1.775,1.800,992.400,1.786.320.000,0.00%,2.51%,-0.84%,0.56%,2.51%,3.81%,SMSM
26,17-10-2025,1.800,1.800,1.765,1.790,691.200,1.237.248.000,0.84%,0.84%,-1.12%,0.28%,0.00%,4.44%,SMSM
27,16-10-2025,1.725,1.795,1.720,1.785,720.700,1.286.449.500,0.29%,4.36%,0.00%,3.78%,4.06%,4.74%,SMSM
28,15-10-2025,1.735,1.740,1.710,1.720,1.092.600,1.879.272.000,0.00%,0.29%,-1.44%,-0.86%,0.29%,0.86%,SMSM
29,14-10-2025,1.750,1.750,1.725,1.735,1.547.300,2.684.565.500,0.29%,0.29%,-1.15%,-0.57%,0.00%,0.57%,SMSM
30,13-10-2025,1.745,1.755,1.740,1.745,1.595.600,2.784.322.000,0.00%,0.57%,-0.29%,0.00%,0.57%,0.85%,SMSM
31,10-10-2025,1.755,1.765,1.740,1.745,1.263.600,2.204.982.000,0.29%,0.86%,-0.57%,-0.29%,0.57%,1.42%,SMSM
