col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SNLK
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SNLK
1,21-11-2025,408,410,402,408,8.928.200,3.642.705.600,0.00%,0.49%,-1.47%,0.00%,0.49%,1.95%,SNLK
2,20-11-2025,408,408,402,408,6.790.200,2.770.401.600,0.00%,0.00%,-1.47%,0.00%,0.00%,0.98%,SNLK
3,19-11-2025,410,410,404,408,7.846.300,3.201.290.400,0.00%,0.00%,-1.46%,-0.49%,0.00%,1.46%,SNLK
4,18-11-2025,410,410,404,410,8.717.400,3.574.134.000,0.00%,0.00%,-1.46%,0.00%,0.00%,0.98%,SNLK
5,17-11-2025,408,412,406,410,7.903.800,3.240.558.000,-0.49%,0.49%,-0.98%,0.00%,0.98%,2.43%,SNLK
6,14-11-2025,412,412,402,410,4.822.400,1.977.184.000,0.00%,0.00%,-2.43%,-0.49%,0.00%,1.46%,SNLK
7,13-11-2025,410,416,406,412,11.498.100,4.737.217.200,0.00%,1.46%,-0.98%,0.49%,1.46%,2.88%,SNLK
8,12-11-2025,406,410,404,410,7.581.900,3.108.579.000,0.00%,0.99%,-0.49%,0.99%,0.99%,1.46%,SNLK
9,11-11-2025,406,414,404,406,9.008.000,3.657.248.000,0.50%,2.48%,0.00%,0.50%,1.97%,2.42%,SNLK
10,10-11-2025,410,410,404,404,7.962.800,3.216.971.200,0.00%,0.00%,-1.46%,-1.46%,0.00%,1.95%,SNLK
11,07-11-2025,410,410,402,410,8.136.800,3.336.088.000,0.00%,0.00%,-1.95%,0.00%,0.00%,1.46%,SNLK
12,06-11-2025,406,412,404,410,9.499.000,3.894.590.000,0.00%,1.48%,-0.49%,0.99%,1.48%,2.43%,SNLK
13,05-11-2025,410,410,402,406,6.989.000,2.837.534.000,0.00%,0.00%,-1.95%,-0.98%,0.00%,1.95%,SNLK
14,04-11-2025,408,410,402,410,9.483.100,3.888.071.000,0.00%,0.49%,-1.47%,0.49%,0.49%,1.95%,SNLK
15,03-11-2025,406,408,402,408,9.671.200,3.945.849.600,0.00%,0.49%,-0.99%,0.49%,0.49%,1.47%,SNLK
16,31-10-2025,410,412,402,406,5.468.500,2.220.211.000,-0.49%,0.00%,-2.43%,-1.46%,0.49%,1.46%,SNLK
17,30-10-2025,416,418,406,412,8.631.500,3.556.178.000,0.00%,0.48%,-2.40%,-0.96%,0.48%,2.39%,SNLK
18,29-10-2025,414,420,408,416,8.814.600,3.666.873.600,-0.48%,0.96%,-1.92%,0.00%,1.45%,3.81%,SNLK
19,28-10-2025,408,418,404,416,10.390.400,4.322.406.400,0.00%,2.45%,-0.98%,1.96%,2.45%,3.35%,SNLK
20,27-10-2025,416,416,404,408,7.717.300,3.148.658.400,-0.95%,-0.95%,-3.81%,-2.86%,0.00%,3.37%,SNLK
21,24-10-2025,410,420,402,420,10.101.500,4.242.630.000,0.00%,2.44%,-1.95%,2.44%,2.44%,3.81%,SNLK
22,23-10-2025,444,444,404,410,6.496.600,2.663.606.000,0.00%,0.00%,-9.01%,-7.66%,0.00%,9.46%,SNLK
23,22-10-2025,408,448,402,444,16.914.500,7.510.038.000,0.00%,9.80%,-1.47%,8.82%,9.80%,10.71%,SNLK
24,21-10-2025,404,410,400,408,9.623.500,3.926.388.000,-0.49%,0.99%,-1.48%,0.49%,1.49%,2.44%,SNLK
25,20-10-2025,414,414,400,406,8.286.300,3.364.237.800,0.00%,0.00%,-3.38%,-1.93%,0.00%,1.45%,SNLK
26,17-10-2025,412,420,408,414,11.253.500,4.658.949.000,0.00%,1.94%,-0.97%,0.49%,1.94%,4.76%,SNLK
27,16-10-2025,408,412,400,412,8.058.900,3.320.266.800,0.00%,0.98%,-1.96%,0.98%,0.98%,2.91%,SNLK
28,15-10-2025,410,410,400,408,7.153.600,2.918.668.800,0.49%,0.49%,-1.96%,0.00%,0.00%,2.44%,SNLK
29,14-10-2025,414,414,400,408,6.551.600,2.673.052.800,0.49%,0.49%,-2.91%,-0.97%,0.00%,2.90%,SNLK
30,13-10-2025,416,416,402,412,6.861.600,2.826.979.200,0.00%,0.00%,-3.37%,-0.96%,0.00%,0.96%,SNLK
31,10-10-2025,418,420,412,416,7.957.200,3.310.195.200,0.00%,0.48%,-1.44%,-0.48%,0.48%,1.90%,SNLK
32,09-10-2025,422,422,412,418,7.843.600,3.278.624.800,0.00%,0.00%,-2.37%,-0.95%,0.00%,2.37%,SNLK
33,08-10-2025,420,422,412,422,8.179.100,3.451.580.200,0.48%,0.96%,-1.44%,0.96%,0.48%,4.74%,SNLK
34,07-10-2025,410,420,402,418,8.673.700,3.625.606.600,1.49%,3.96%,-0.50%,3.47%,2.44%,3.81%,SNLK
35,06-10-2025,430,430,404,404,3.858.100,1.558.672.400,0.00%,0.00%,-6.05%,-6.05%,0.00%,2.33%,SNLK
36,03-10-2025,436,436,420,430,7.756.000,3.335.080.000,0.00%,0.00%,-3.67%,-1.38%,0.00%,1.38%,SNLK
37,02-10-2025,432,442,430,436,8.970.500,3.911.138.000,0.00%,2.31%,-0.46%,0.93%,2.31%,4.52%,SNLK
38,01-10-2025,424,434,422,432,8.260.900,3.568.708.800,0.00%,2.36%,-0.47%,1.89%,2.36%,2.30%,SNLK
39,30-09-2025,434,440,424,424,7.430.400,3.150.489.600,0.00%,1.38%,-2.30%,-2.30%,1.38%,2.73%,SNLK
40,29-09-2025,446,446,428,434,8.402.900,3.646.858.600,0.00%,0.00%,-4.04%,-2.69%,0.00%,4.04%,SNLK
