col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SOFA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SOFA
1,21-11-2025,254,272,250,270,10.132.300,2.735.721.000,1.60%,8.80%,0.00%,8.00%,7.09%,8.09%,SOFA
2,20-11-2025,254,262,250,250,5.443.300,1.360.825.000,-0.78%,2.34%,-2.34%,-2.34%,3.15%,5.34%,SOFA
3,19-11-2025,264,274,248,256,5.361.200,1.372.467.200,3.94%,7.87%,-2.36%,0.79%,3.79%,9.49%,SOFA
4,18-11-2025,292,292,248,254,9.285.800,2.358.593.200,8.96%,8.96%,-7.46%,-5.22%,0.00%,16.44%,SOFA
5,17-11-2025,248,268,244,268,29.857.500,8.001.810.000,1.64%,9.84%,0.00%,9.84%,8.06%,15.67%,SOFA
6,14-11-2025,248,258,226,244,8.525.900,2.080.319.600,0.81%,4.88%,-8.13%,-0.81%,4.03%,6.98%,SOFA
7,13-11-2025,268,270,240,246,22.971.000,5.650.866.000,0.75%,1.50%,-9.77%,-7.52%,0.75%,3.70%,SOFA
8,12-11-2025,280,286,260,266,12.191.200,3.242.859.200,1.45%,3.62%,-5.80%,-3.62%,2.14%,7.69%,SOFA
9,11-11-2025,274,286,264,276,10.356.200,2.858.311.200,0.00%,4.38%,-3.65%,0.73%,4.38%,6.29%,SOFA
10,10-11-2025,286,292,268,274,8.605.200,2.357.824.800,2.14%,4.29%,-4.29%,-2.14%,2.10%,7.53%,SOFA
11,07-11-2025,278,296,270,280,8.016.300,2.244.564.000,0.00%,6.47%,-2.88%,0.72%,6.47%,8.78%,SOFA
12,06-11-2025,276,294,270,278,10.343.300,2.875.437.400,0.00%,6.52%,-2.17%,0.72%,6.52%,10.20%,SOFA
13,05-11-2025,292,316,264,276,31.776.000,8.770.176.000,0.00%,8.22%,-9.59%,-5.48%,8.22%,12.66%,SOFA
14,04-11-2025,332,332,276,292,47.374.500,13.833.354.000,9.93%,9.93%,-8.61%,-3.31%,0.00%,15.66%,SOFA
15,03-11-2025,290,302,280,302,9.075.400,2.740.770.800,5.07%,9.42%,1.45%,9.42%,4.14%,24.50%,SOFA
16,31-10-2025,236,276,228,276,43.456.300,11.993.938.800,-6.35%,9.52%,-9.52%,9.52%,16.95%,8.70%,SOFA
17,30-10-2025,278,278,252,252,32.353.300,8.153.031.600,0.00%,0.00%,-9.35%,-9.35%,0.00%,0.00%,SOFA
18,29-10-2025,308,308,278,278,187.026.300,51.993.311.400,0.00%,0.00%,-9.74%,-9.74%,0.00%,0.00%,SOFA
19,28-10-2025,308,308,308,308,24.751.800,7.623.554.400,10.00%,10.00%,10.00%,10.00%,0.00%,9.09%,SOFA
