col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SONA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SONA
1,21-11-2025,2.420,2.450,2.410,2.430,21.400,52.002.000,0.00%,1.24%,-0.41%,0.41%,1.24%,2.86%,SONA
2,20-11-2025,2.430,2.480,2.380,2.420,78.300,189.486.000,0.00%,2.06%,-2.06%,-0.41%,2.06%,2.82%,SONA
3,19-11-2025,2.440,2.500,2.410,2.430,43.500,105.705.000,0.00%,2.46%,-1.23%,-0.41%,2.46%,3.60%,SONA
4,18-11-2025,2.480,2.480,2.410,2.440,79.700,194.468.000,0.40%,0.40%,-2.43%,-1.21%,0.00%,3.23%,SONA
5,17-11-2025,2.530,2.550,2.400,2.470,179.000,442.130.000,0.00%,0.79%,-5.14%,-2.37%,0.79%,2.35%,SONA
6,14-11-2025,2.550,2.570,2.490,2.530,83.600,211.508.000,0.00%,0.78%,-2.35%,-0.78%,0.78%,1.17%,SONA
7,13-11-2025,2.550,2.600,2.540,2.550,53.500,136.425.000,0.39%,2.36%,0.00%,0.39%,1.96%,4.62%,SONA
8,12-11-2025,2.530,2.570,2.480,2.540,77.300,196.342.000,0.80%,2.39%,-1.20%,1.20%,1.58%,4.28%,SONA
9,11-11-2025,2.580,2.580,2.460,2.510,105.800,265.558.000,1.98%,1.98%,-2.77%,-0.79%,0.00%,3.49%,SONA
10,10-11-2025,2.560,2.600,2.490,2.530,82.400,208.472.000,4.07%,5.69%,1.22%,2.85%,1.56%,6.15%,SONA
11,07-11-2025,2.690,2.690,2.440,2.460,333.600,820.656.000,0.37%,0.37%,-8.96%,-8.21%,0.00%,2.60%,SONA
12,06-11-2025,2.700,2.750,2.620,2.680,47.700,127.836.000,0.37%,2.23%,-2.60%,-0.37%,1.85%,5.45%,SONA
13,05-11-2025,2.750,2.760,2.600,2.690,61.900,166.511.000,0.00%,0.36%,-5.45%,-2.18%,0.36%,2.17%,SONA
14,04-11-2025,2.710,2.840,2.700,2.750,86.500,237.875.000,-2.52%,2.16%,-2.88%,-1.08%,4.80%,3.17%,SONA
15,03-11-2025,2.860,2.890,2.750,2.780,81.300,226.014.000,1.42%,2.48%,-2.48%,-1.42%,1.05%,6.23%,SONA
16,31-10-2025,2.850,2.880,2.710,2.820,102.900,290.178.000,3.64%,4.73%,-1.45%,2.55%,1.05%,6.60%,SONA
17,30-10-2025,2.710,3.200,2.690,2.750,473.100,1.301.025.000,1.12%,19.40%,0.37%,2.61%,18.08%,17.50%,SONA
18,29-10-2025,2.700,2.730,2.640,2.680,44.200,118.456.000,1.12%,2.25%,-1.12%,0.37%,1.11%,8.42%,SONA
19,28-10-2025,2.890,2.890,2.500,2.670,166.400,444.288.000,3.58%,3.58%,-10.39%,-4.30%,0.00%,5.88%,SONA
20,27-10-2025,3.000,3.000,2.720,2.790,48.800,136.152.000,5.26%,5.26%,-4.56%,-2.11%,0.00%,10.00%,SONA
21,24-10-2025,2.940,2.940,2.700,2.850,97.700,278.445.000,1.03%,1.03%,-7.22%,-2.06%,0.00%,3.74%,SONA
