col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SPMA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SPMA
1,21-11-2025,266,266,262,262,168.800,44.225.600,0.76%,0.76%,-0.76%,-0.76%,0.00%,2.26%,SPMA
2,20-11-2025,262,268,260,264,505.400,133.425.600,0.00%,2.29%,-0.76%,0.76%,2.29%,2.99%,SPMA
3,19-11-2025,268,270,260,262,916.000,239.992.000,2.29%,3.05%,-0.76%,0.00%,0.75%,2.96%,SPMA
4,18-11-2025,264,268,262,262,434.500,113.839.000,0.76%,2.29%,0.00%,0.00%,1.52%,2.99%,SPMA
5,17-11-2025,268,268,260,262,1.157.100,303.160.200,0.00%,0.00%,-2.99%,-2.24%,0.00%,0.75%,SPMA
6,14-11-2025,272,272,266,268,764.400,204.859.200,0.00%,0.00%,-2.21%,-1.47%,0.00%,0.74%,SPMA
7,13-11-2025,278,280,270,272,2.190.400,595.788.800,0.00%,0.72%,-2.88%,-2.16%,0.72%,2.86%,SPMA
8,12-11-2025,282,282,272,278,1.819.200,505.737.600,0.00%,0.00%,-3.55%,-1.42%,0.00%,2.84%,SPMA
9,11-11-2025,274,284,274,282,3.174.800,895.293.600,0.74%,4.41%,0.74%,3.68%,3.65%,11.97%,SPMA
10,10-11-2025,284,288,250,272,4.008.200,1.090.230.400,-22.83%,-21.74%,-32.07%,-26.09%,1.41%,-22.22%,SPMA
11,07-11-2025,370,376,352,368,3.880.900,1.428.171.200,0.00%,1.62%,-4.86%,-0.54%,1.62%,2.13%,SPMA
12,06-11-2025,370,378,368,370,3.058.100,1.131.497.000,0.00%,2.16%,-0.54%,0.00%,2.16%,3.17%,SPMA
13,05-11-2025,372,400,366,370,4.876.100,1.804.157.000,1.09%,8.70%,-0.54%,0.54%,7.53%,8.00%,SPMA
14,04-11-2025,374,380,368,368,1.774.600,653.052.800,1.08%,2.70%,-0.54%,-0.54%,1.60%,3.16%,SPMA
15,03-11-2025,378,382,368,370,2.019.200,747.104.000,3.28%,4.37%,0.55%,1.09%,1.06%,5.24%,SPMA
16,31-10-2025,370,376,362,366,644.600,235.923.600,0.54%,2.17%,-1.63%,-0.54%,1.62%,3.72%,SPMA
17,30-10-2025,380,384,362,368,2.542.000,935.456.000,0.00%,1.05%,-4.74%,-3.16%,1.05%,3.65%,SPMA
18,29-10-2025,386,386,370,380,1.190.100,452.238.000,2.66%,2.66%,-1.60%,1.06%,0.00%,3.63%,SPMA
19,28-10-2025,384,390,372,376,676.800,254.476.800,0.00%,1.56%,-3.13%,-2.08%,1.56%,4.10%,SPMA
20,27-10-2025,382,396,374,384,2.824.200,1.084.492.800,0.53%,4.21%,-1.58%,1.05%,3.66%,7.07%,SPMA
21,24-10-2025,396,396,368,380,2.257.300,857.774.000,3.13%,3.13%,-4.17%,-1.04%,0.00%,9.60%,SPMA
22,23-10-2025,360,400,358,384,6.955.900,2.671.065.600,0.56%,11.73%,0.00%,7.26%,11.11%,12.50%,SPMA
23,22-10-2025,352,360,350,358,806.400,288.691.200,0.57%,2.86%,0.00%,2.29%,2.27%,3.33%,SPMA
24,21-10-2025,350,356,348,350,520.300,182.105.000,0.57%,2.30%,0.00%,0.57%,1.71%,3.93%,SPMA
25,20-10-2025,344,354,342,348,815.400,283.759.200,-1.15%,1.72%,-1.72%,0.00%,2.91%,3.95%,SPMA
26,17-10-2025,356,366,340,348,1.251.600,435.556.800,1.14%,3.98%,-3.41%,-1.14%,2.81%,7.10%,SPMA
27,16-10-2025,350,362,340,352,1.385.800,487.801.600,2.94%,6.47%,0.00%,3.53%,3.43%,7.73%,SPMA
28,15-10-2025,350,354,334,340,949.000,322.660.000,0.00%,1.14%,-4.57%,-2.86%,1.14%,3.39%,SPMA
29,14-10-2025,364,366,342,350,2.119.100,741.685.000,0.00%,0.55%,-6.04%,-3.85%,0.55%,5.46%,SPMA
30,13-10-2025,356,368,346,364,3.371.300,1.227.153.200,0.00%,3.37%,-2.81%,2.25%,3.37%,3.80%,SPMA
31,10-10-2025,362,364,354,356,1.647.700,586.581.200,1.69%,2.25%,-0.56%,0.00%,0.55%,6.59%,SPMA
32,09-10-2025,342,360,340,356,2.052.400,730.654.400,0.59%,5.88%,0.00%,4.71%,5.26%,10.56%,SPMA
33,08-10-2025,334,340,322,340,1.083.800,368.492.000,0.00%,1.80%,-3.59%,1.80%,1.80%,2.35%,SPMA
34,07-10-2025,340,342,332,334,612.900,204.708.600,1.19%,1.79%,-1.19%,-0.60%,0.59%,5.85%,SPMA
35,06-10-2025,336,344,322,336,1.651.400,554.870.400,1.20%,3.61%,-3.01%,1.20%,2.38%,5.81%,SPMA
36,03-10-2025,330,334,324,332,1.060.200,351.986.400,-1.20%,0.00%,-2.99%,-0.60%,1.21%,1.80%,SPMA
37,02-10-2025,330,336,328,334,1.806.700,603.437.800,0.00%,1.82%,-0.61%,1.21%,1.82%,2.98%,SPMA
38,01-10-2025,346,350,326,330,5.105.600,1.684.848.000,0.00%,1.16%,-5.78%,-4.62%,1.16%,2.29%,SPMA
39,30-09-2025,346,358,342,346,2.281.100,789.260.600,-1.14%,2.29%,-2.29%,-1.14%,3.47%,4.47%,SPMA
40,29-09-2025,362,362,342,350,3.995.200,1.398.320.000,-0.55%,-0.55%,-6.04%,-3.85%,0.00%,0.00%,SPMA
