col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SPTO
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SPTO
1,21-11-2025,695,705,690,695,2.670.600,1.856.067.000,0.72%,2.17%,0.00%,0.72%,1.44%,2.84%,SPTO
2,20-11-2025,690,695,685,690,2.466.600,1.701.954.000,0.00%,0.72%,-0.72%,0.00%,0.72%,1.44%,SPTO
3,19-11-2025,695,695,685,690,1.723.600,1.189.284.000,0.00%,0.00%,-1.44%,-0.72%,0.00%,1.44%,SPTO
4,18-11-2025,690,695,685,695,1.445.100,1.004.344.500,0.00%,0.72%,-0.72%,0.72%,0.72%,2.88%,SPTO
5,17-11-2025,680,690,675,690,4.630.100,3.194.769.000,0.74%,2.22%,0.00%,2.22%,1.47%,3.62%,SPTO
6,14-11-2025,670,690,665,675,2.952.900,1.993.207.500,0.75%,3.76%,0.00%,1.50%,2.99%,3.62%,SPTO
7,13-11-2025,665,675,665,665,150.600,100.149.000,-0.75%,0.75%,-0.75%,-0.75%,1.50%,1.48%,SPTO
8,12-11-2025,675,675,665,670,321.700,215.539.000,0.75%,0.75%,-0.75%,0.00%,0.00%,1.48%,SPTO
9,11-11-2025,675,675,665,670,655.900,439.453.000,0.00%,0.00%,-1.48%,-0.74%,0.00%,1.48%,SPTO
10,10-11-2025,665,680,665,675,874.500,590.287.500,-0.75%,1.49%,-0.75%,0.75%,2.26%,2.21%,SPTO
11,07-11-2025,665,670,665,670,574.700,385.049.000,-0.75%,0.00%,-0.75%,0.00%,0.75%,0.75%,SPTO
12,06-11-2025,665,675,665,670,1.191.200,798.104.000,0.00%,1.50%,0.00%,0.75%,1.50%,3.70%,SPTO
13,05-11-2025,660,665,650,665,655.400,435.841.000,0.76%,1.53%,-0.76%,1.53%,0.76%,2.26%,SPTO
14,04-11-2025,650,660,650,655,618.400,405.052.000,0.00%,1.54%,0.00%,0.77%,1.54%,2.27%,SPTO
15,03-11-2025,650,655,645,650,804.300,522.795.000,0.78%,1.55%,0.00%,0.78%,0.77%,2.29%,SPTO
16,31-10-2025,650,655,640,645,1.733.600,1.118.172.000,0.00%,0.77%,-1.54%,-0.77%,0.77%,2.29%,SPTO
17,30-10-2025,645,650,640,650,790.000,513.500.000,0.78%,1.56%,0.00%,1.56%,0.78%,1.54%,SPTO
18,29-10-2025,645,645,640,640,1.181.300,756.032.000,0.00%,0.00%,-0.78%,-0.78%,0.00%,0.78%,SPTO
19,28-10-2025,640,645,640,645,661.100,426.409.500,0.00%,0.78%,0.00%,0.78%,0.78%,1.55%,SPTO
20,27-10-2025,640,650,635,640,1.300.600,832.384.000,0.00%,1.56%,-0.78%,0.00%,1.56%,2.31%,SPTO
21,24-10-2025,640,645,635,640,791.200,506.368.000,0.00%,0.78%,-0.78%,0.00%,0.78%,1.55%,SPTO
22,23-10-2025,640,645,635,640,1.023.300,654.912.000,0.00%,0.78%,-0.78%,0.00%,0.78%,1.55%,SPTO
23,22-10-2025,640,640,635,640,879.200,562.688.000,0.00%,0.00%,-0.78%,0.00%,0.00%,0.78%,SPTO
24,21-10-2025,640,645,635,640,1.170.800,749.312.000,0.00%,0.78%,-0.78%,0.00%,0.78%,2.33%,SPTO
25,20-10-2025,635,645,630,640,692.600,443.264.000,0.00%,1.57%,-0.79%,0.79%,1.57%,2.33%,SPTO
26,17-10-2025,640,640,630,635,467.500,296.862.500,0.00%,0.00%,-1.56%,-0.78%,0.00%,1.56%,SPTO
27,16-10-2025,635,640,630,640,451.700,289.088.000,-0.78%,0.00%,-1.56%,0.00%,0.79%,2.34%,SPTO
28,15-10-2025,640,640,625,640,832.700,532.928.000,0.00%,0.00%,-2.34%,0.00%,0.00%,0.78%,SPTO
29,14-10-2025,640,645,635,640,746.800,477.952.000,-0.78%,0.00%,-1.55%,-0.78%,0.78%,2.33%,SPTO
30,13-10-2025,635,645,630,645,460.000,296.700.000,-0.78%,0.78%,-1.56%,0.78%,1.57%,1.55%,SPTO
31,10-10-2025,645,645,635,640,484.600,310.144.000,0.78%,0.78%,-0.78%,0.00%,0.00%,2.33%,SPTO
32,09-10-2025,630,645,630,640,602.700,385.728.000,0.00%,2.38%,0.00%,1.59%,2.38%,2.33%,SPTO
33,08-10-2025,655,655,630,630,5.498.200,3.463.866.000,0.00%,0.00%,-3.82%,-3.82%,0.00%,0.76%,SPTO
34,07-10-2025,655,660,650,655,1.342.800,879.534.000,0.00%,0.76%,-0.76%,0.00%,0.76%,1.52%,SPTO
