col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SRAJ
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SRAJ
1,21-11-2025,14.100,14.750,13.800,14.575,131.400,1.915.155.000,-1.40%,3.15%,-3.50%,1.92%,4.61%,9.15%,SRAJ
2,20-11-2025,14.025,14.300,13.400,14.300,678.200,9.698.260.000,-0.71%,1.24%,-5.13%,1.24%,1.96%,8.57%,SRAJ
3,19-11-2025,13.075,14.350,13.075,14.125,574.700,8.117.637.500,0.77%,10.60%,0.77%,8.86%,9.75%,9.58%,SRAJ
4,18-11-2025,14.000,14.200,12.975,12.975,167.100,2.168.122.500,0.00%,1.43%,-7.32%,-7.32%,1.43%,4.75%,SRAJ
5,17-11-2025,18.375,18.400,13.525,14.000,1.076.200,15.066.800.000,15.57%,15.72%,-14.94%,-11.95%,0.14%,26.90%,SRAJ
6,14-11-2025,14.000,15.900,13.450,15.900,240.400,3.822.360.000,5.66%,20.00%,1.51%,20.00%,13.57%,26.10%,SRAJ
7,13-11-2025,11.750,13.775,11.750,13.250,151.100,2.002.075.000,0.00%,17.23%,0.00%,12.77%,17.23%,15.61%,SRAJ
8,12-11-2025,11.625,11.825,11.625,11.750,45.000,528.750.000,-1.48%,0.21%,-1.48%,-0.42%,1.72%,2.75%,SRAJ
9,11-11-2025,11.550,11.825,11.500,11.800,132.600,1.564.680.000,-1.07%,1.28%,-1.50%,1.07%,2.38%,7.82%,SRAJ
10,10-11-2025,11.700,11.700,10.900,11.675,500.300,5.841.002.500,0.00%,0.00%,-6.84%,-0.21%,0.00%,1.50%,SRAJ
11,07-11-2025,11.750,11.825,11.525,11.700,169.800,1.986.660.000,-0.42%,0.21%,-2.33%,-0.85%,0.64%,0.21%,SRAJ
12,06-11-2025,12.000,12.000,11.800,11.800,191.100,2.254.980.000,0.00%,0.00%,-1.67%,-1.67%,0.00%,2.92%,SRAJ
13,05-11-2025,12.000,12.000,11.650,12.000,449.700,5.396.400.000,0.00%,0.00%,-2.92%,0.00%,0.00%,4.38%,SRAJ
14,04-11-2025,11.475,12.000,11.475,12.000,1.672.800,20.073.600.000,-2.34%,2.13%,-2.34%,2.13%,4.58%,5.00%,SRAJ
15,03-11-2025,11.625,11.750,11.400,11.750,1.939.300,22.786.775.000,-1.06%,0.00%,-2.98%,0.00%,1.08%,1.70%,SRAJ
