col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SRTG
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SRTG
1,21-11-2025,1.605,1.620,1.595,1.600,1.479.400,2.367.040.000,0.31%,1.25%,-0.31%,0.00%,0.93%,1.23%,SRTG
2,20-11-2025,1.625,1.635,1.600,1.600,2.020.400,3.232.640.000,1.25%,1.87%,-0.31%,-0.31%,0.62%,2.45%,SRTG
3,19-11-2025,1.595,1.620,1.595,1.605,1.504.200,2.414.241.000,0.00%,1.57%,0.00%,0.63%,1.57%,2.16%,SRTG
4,18-11-2025,1.605,1.620,1.585,1.595,2.896.300,4.619.598.500,0.31%,1.25%,-0.94%,-0.31%,0.93%,1.54%,SRTG
5,17-11-2025,1.610,1.645,1.595,1.600,5.211.100,8.337.760.000,0.31%,2.49%,-0.62%,-0.31%,2.17%,2.43%,SRTG
6,14-11-2025,1.640,1.645,1.605,1.605,6.211.300,9.969.136.500,0.00%,0.30%,-2.13%,-2.13%,0.30%,0.30%,SRTG
7,13-11-2025,1.660,1.670,1.640,1.640,4.425.500,7.257.820.000,-0.60%,0.00%,-1.80%,-1.80%,0.60%,0.00%,SRTG
8,12-11-2025,1.670,1.690,1.670,1.670,2.851.200,4.761.504.000,0.00%,1.20%,0.00%,0.00%,1.20%,2.37%,SRTG
9,11-11-2025,1.680,1.695,1.650,1.670,7.841.800,13.095.806.000,0.30%,1.19%,-1.49%,-0.30%,0.89%,1.47%,SRTG
10,10-11-2025,1.700,1.700,1.670,1.675,2.722.700,4.560.522.500,1.49%,1.49%,-0.30%,0.00%,0.00%,2.06%,SRTG
11,07-11-2025,1.690,1.700,1.665,1.675,3.533.700,5.918.947.500,-0.29%,0.29%,-1.77%,-1.18%,0.59%,2.94%,SRTG
12,06-11-2025,1.650,1.695,1.650,1.695,5.503.900,9.329.110.500,0.30%,3.04%,0.30%,3.04%,2.73%,2.95%,SRTG
13,05-11-2025,1.655,1.685,1.645,1.645,6.854.200,11.275.159.000,-2.07%,-0.30%,-2.66%,-2.66%,1.81%,-0.30%,SRTG
14,04-11-2025,1.735,1.750,1.690,1.690,3.540.200,5.982.938.000,0.00%,0.86%,-2.59%,-2.59%,0.86%,4.00%,SRTG
15,03-11-2025,1.700,1.765,1.680,1.735,5.630.600,9.769.091.000,-1.16%,2.62%,-2.33%,0.87%,3.82%,2.83%,SRTG
16,31-10-2025,1.740,1.765,1.715,1.720,3.234.800,5.563.856.000,0.00%,1.44%,-1.44%,-1.15%,1.44%,2.27%,SRTG
17,30-10-2025,1.760,1.785,1.725,1.740,7.633.100,13.281.594.000,0.57%,2.00%,-1.43%,-0.57%,1.42%,4.76%,SRTG
18,29-10-2025,1.720,1.765,1.700,1.750,12.544.200,21.952.350.000,1.18%,3.82%,0.00%,2.94%,2.62%,5.95%,SRTG
19,28-10-2025,1.660,1.720,1.660,1.700,6.393.300,10.868.610.000,0.00%,3.61%,0.00%,2.41%,3.61%,5.52%,SRTG
20,27-10-2025,1.650,1.675,1.625,1.660,3.854.300,6.398.138.000,0.00%,1.52%,-1.52%,0.61%,1.52%,1.79%,SRTG
21,24-10-2025,1.645,1.665,1.645,1.650,2.485.400,4.100.910.000,0.30%,1.52%,0.30%,0.61%,1.22%,1.80%,SRTG
22,23-10-2025,1.665,1.700,1.635,1.640,6.878.900,11.281.396.000,-0.30%,1.80%,-2.10%,-1.80%,2.10%,2.94%,SRTG
23,22-10-2025,1.700,1.710,1.650,1.670,4.792.200,8.002.974.000,0.00%,0.59%,-2.94%,-1.76%,0.59%,3.22%,SRTG
24,21-10-2025,1.665,1.735,1.655,1.700,8.299.700,14.109.490.000,0.60%,4.83%,0.00%,2.72%,4.20%,9.22%,SRTG
25,20-10-2025,1.575,1.660,1.575,1.655,8.089.900,13.388.784.500,0.96%,6.41%,0.96%,6.09%,5.40%,6.02%,SRTG
26,17-10-2025,1.630,1.645,1.560,1.560,8.492.100,13.247.676.000,0.00%,0.92%,-4.29%,-4.29%,0.92%,1.52%,SRTG
27,16-10-2025,1.635,1.655,1.620,1.630,5.335.900,8.697.517.000,0.31%,1.53%,-0.61%,0.00%,1.22%,2.11%,SRTG
28,15-10-2025,1.705,1.720,1.620,1.630,10.949.100,17.847.033.000,0.29%,1.18%,-4.71%,-4.12%,0.88%,1.16%,SRTG
29,14-10-2025,1.755,1.810,1.700,1.700,14.383.700,24.452.290.000,0.57%,3.72%,-2.58%,-2.58%,3.13%,3.87%,SRTG
30,13-10-2025,1.760,1.795,1.740,1.745,6.426.500,11.214.242.500,-1.12%,0.84%,-2.25%,-1.97%,1.99%,0.84%,SRTG
31,10-10-2025,1.805,1.820,1.780,1.780,6.618.300,11.780.574.000,0.00%,0.83%,-1.39%,-1.39%,0.83%,0.82%,SRTG
32,09-10-2025,1.910,1.925,1.805,1.805,23.564.500,42.533.922.500,1.87%,2.67%,-3.73%,-3.73%,0.79%,9.35%,SRTG
33,08-10-2025,1.780,1.875,1.745,1.875,16.220.600,30.413.625.000,0.28%,5.63%,-1.69%,5.63%,5.34%,7.47%,SRTG
34,07-10-2025,1.735,1.790,1.735,1.775,8.953.900,15.893.172.500,0.00%,3.17%,0.00%,2.31%,3.17%,3.35%,SRTG
35,06-10-2025,1.740,1.750,1.730,1.735,3.818.800,6.625.618.000,0.00%,0.57%,-0.57%,-0.29%,0.57%,0.86%,SRTG
36,03-10-2025,1.760,1.775,1.735,1.740,4.944.100,8.602.734.000,1.15%,2.01%,-0.29%,0.00%,0.85%,1.97%,SRTG
37,02-10-2025,1.745,1.790,1.740,1.740,5.520.400,9.605.496.000,0.00%,2.58%,-0.29%,-0.29%,2.58%,3.07%,SRTG
38,01-10-2025,1.760,1.775,1.735,1.745,6.825.900,11.911.195.500,0.00%,0.85%,-1.42%,-0.85%,0.85%,0.85%,SRTG
39,30-09-2025,1.800,1.810,1.760,1.760,5.131.300,9.031.088.000,0.56%,1.12%,-1.68%,-1.68%,0.56%,3.04%,SRTG
40,29-09-2025,1.820,1.825,1.755,1.790,8.086.600,14.475.014.000,1.68%,1.96%,-1.96%,0.00%,0.27%,3.84%,SRTG
41,26-09-2025,1.770,1.810,1.755,1.790,10.967.200,19.631.288.000,0.28%,2.55%,-0.57%,1.42%,2.26%,2.49%,SRTG
42,25-09-2025,1.885,1.895,1.765,1.765,19.145.200,33.791.278.000,0.27%,0.80%,-6.12%,-6.12%,0.53%,1.06%,SRTG
43,24-09-2025,1.935,1.940,1.875,1.880,11.373.300,21.381.804.000,0.26%,0.52%,-2.85%,-2.59%,0.26%,1.55%,SRTG
44,23-09-2025,2.000,2.020,1.910,1.930,19.930.900,38.466.637.000,1.01%,2.02%,-3.54%,-2.53%,1.00%,3.71%,SRTG
