col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SSIA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SSIA
1,21-11-2025,1.745,1.790,1.705,1.705,39.143.600,66.739.838.000,0.00%,2.58%,-2.29%,-2.29%,2.58%,3.63%,SSIA
2,20-11-2025,1.760,1.780,1.725,1.745,39.340.000,68.648.300.000,0.86%,2.01%,-1.15%,0.00%,1.14%,5.34%,SSIA
3,19-11-2025,1.715,1.765,1.685,1.745,41.242.500,71.968.162.500,0.29%,3.22%,-1.46%,2.05%,2.92%,4.82%,SSIA
4,18-11-2025,1.750,1.775,1.680,1.710,59.605.300,101.925.063.000,0.29%,1.72%,-3.72%,-2.01%,1.43%,9.30%,SSIA
5,17-11-2025,1.610,1.770,1.610,1.745,103.998.000,181.476.510.000,0.00%,9.94%,0.00%,8.39%,9.94%,9.60%,SSIA
6,14-11-2025,1.630,1.660,1.600,1.610,22.206.500,35.752.465.000,0.00%,1.84%,-1.84%,-1.23%,1.84%,1.81%,SSIA
7,13-11-2025,1.660,1.700,1.630,1.630,45.702.000,74.494.260.000,0.00%,2.41%,-1.81%,-1.81%,2.41%,4.12%,SSIA
8,12-11-2025,1.660,1.735,1.630,1.660,62.157.200,103.180.952.000,0.30%,4.83%,-1.51%,0.30%,4.52%,5.48%,SSIA
9,11-11-2025,1.715,1.720,1.640,1.655,33.692.600,55.761.253.000,0.59%,0.88%,-3.81%,-2.93%,0.29%,2.33%,SSIA
10,10-11-2025,1.715,1.785,1.680,1.705,88.414.700,150.747.063.500,0.29%,4.39%,-1.75%,-0.29%,4.08%,13.45%,SSIA
11,07-11-2025,1.560,1.810,1.545,1.710,125.029.100,213.799.761.000,0.32%,16.40%,-0.64%,9.97%,16.03%,14.92%,SSIA
12,06-11-2025,1.555,1.595,1.540,1.555,23.337.000,36.289.035.000,0.00%,2.57%,-0.96%,0.00%,2.57%,4.39%,SSIA
13,05-11-2025,1.550,1.575,1.525,1.555,17.167.800,26.695.929.000,-1.27%,0.32%,-2.87%,-0.96%,1.61%,1.27%,SSIA
14,04-11-2025,1.585,1.620,1.555,1.570,22.381.600,35.139.112.000,0.00%,2.21%,-1.89%,-0.95%,2.21%,3.09%,SSIA
15,03-11-2025,1.570,1.615,1.570,1.585,18.562.000,29.420.770.000,0.64%,3.53%,0.64%,1.60%,2.87%,3.41%,SSIA
16,31-10-2025,1.600,1.615,1.560,1.560,26.212.000,40.890.720.000,0.00%,0.94%,-2.50%,-2.50%,0.94%,1.55%,SSIA
17,30-10-2025,1.610,1.625,1.590,1.600,18.116.000,28.985.600.000,0.00%,0.93%,-1.24%,-0.62%,0.93%,3.69%,SSIA
18,29-10-2025,1.625,1.670,1.565,1.610,31.769.800,51.149.378.000,0.00%,2.77%,-3.69%,-0.92%,2.77%,4.49%,SSIA
19,28-10-2025,1.640,1.665,1.595,1.625,24.740.100,40.202.662.500,-0.30%,1.22%,-3.04%,-1.22%,1.52%,2.70%,SSIA
20,27-10-2025,1.765,1.800,1.620,1.645,43.555.500,71.648.797.500,0.57%,2.56%,-7.69%,-6.27%,1.98%,2.78%,SSIA
21,24-10-2025,1.800,1.800,1.750,1.755,14.402.200,25.275.861.000,2.56%,2.56%,-0.28%,0.00%,0.00%,2.50%,SSIA
22,23-10-2025,1.775,1.800,1.755,1.755,18.422.500,32.331.487.500,0.00%,1.41%,-1.13%,-1.13%,1.41%,1.94%,SSIA
23,22-10-2025,1.820,1.825,1.765,1.775,19.425.900,34.480.972.500,0.00%,0.27%,-3.02%,-2.47%,0.27%,1.37%,SSIA
24,21-10-2025,1.815,1.860,1.800,1.820,21.347.800,38.852.996.000,0.00%,2.48%,-0.83%,0.28%,2.48%,4.84%,SSIA
25,20-10-2025,1.775,1.840,1.770,1.815,25.285.600,45.893.364.000,0.00%,3.66%,-0.28%,2.25%,3.66%,5.71%,SSIA
26,17-10-2025,1.820,1.880,1.735,1.775,36.283.000,64.402.325.000,0.00%,3.30%,-4.67%,-2.47%,3.30%,3.72%,SSIA
27,16-10-2025,1.900,1.900,1.810,1.820,18.923.200,34.440.224.000,2.15%,2.15%,-2.69%,-2.15%,0.00%,5.79%,SSIA
28,15-10-2025,1.895,1.920,1.790,1.860,37.213.300,69.216.738.000,0.26%,1.59%,-5.29%,-1.59%,1.32%,9.90%,SSIA
29,14-10-2025,2.040,2.050,1.730,1.890,67.623.600,127.808.604.000,1.49%,1.99%,-13.93%,-5.97%,0.49%,2.44%,SSIA
30,13-10-2025,2.010,2.080,2.000,2.010,36.995.800,74.361.558.000,-3.83%,-0.48%,-4.31%,-3.83%,3.48%,5.05%,SSIA
31,10-10-2025,1.975,2.120,1.975,2.090,79.800.200,166.782.418.000,0.25%,7.61%,0.25%,6.09%,7.34%,9.67%,SSIA
32,09-10-2025,2.090,2.140,1.915,1.970,86.109.000,169.634.730.000,0.48%,2.88%,-7.93%,-5.29%,2.39%,6.54%,SSIA
33,08-10-2025,2.290,2.300,2.000,2.080,134.787.700,280.358.416.000,0.00%,0.44%,-12.66%,-9.17%,0.44%,14.13%,SSIA
34,07-10-2025,2.050,2.320,1.975,2.290,231.294.000,529.663.260.000,1.99%,15.42%,-1.74%,13.93%,13.17%,20.69%,SSIA
35,06-10-2025,1.855,2.040,1.840,2.010,139.805.600,281.009.256.000,0.54%,10.57%,-0.27%,8.94%,9.97%,11.03%,SSIA
36,03-10-2025,1.920,1.960,1.815,1.845,104.034.300,191.943.283.500,1.59%,3.70%,-3.97%,-2.38%,2.08%,10.97%,SSIA
37,02-10-2025,1.755,1.940,1.745,1.890,158.363.000,299.306.070.000,0.00%,10.54%,-0.57%,7.69%,10.54%,10.05%,SSIA
38,01-10-2025,1.815,1.825,1.745,1.755,33.970.700,59.618.578.500,0.55%,1.11%,-3.32%,-2.77%,0.55%,5.21%,SSIA
39,30-09-2025,1.745,1.895,1.730,1.805,99.540.400,179.670.422.000,0.00%,8.60%,-0.86%,3.44%,8.60%,9.76%,SSIA
40,29-09-2025,1.725,1.775,1.710,1.745,33.985.200,59.304.174.000,0.29%,3.20%,-0.58%,1.45%,2.90%,3.66%,SSIA
41,26-09-2025,1.720,1.750,1.710,1.720,20.209.500,34.760.340.000,0.00%,1.74%,-0.58%,0.00%,1.74%,3.14%,SSIA
42,25-09-2025,1.740,1.770,1.695,1.720,34.773.100,59.809.732.000,0.00%,1.72%,-2.59%,-1.15%,1.72%,2.54%,SSIA
43,24-09-2025,1.865,1.885,1.725,1.740,85.812.800,149.314.272.000,0.00%,1.07%,-7.51%,-6.70%,1.07%,7.96%,SSIA
44,23-09-2025,1.750,1.940,1.735,1.865,165.117.100,307.943.391.500,1.16%,12.14%,0.29%,7.80%,10.86%,11.34%,SSIA
45,22-09-2025,1.810,1.820,1.720,1.730,47.908.500,82.881.705.000,0.56%,1.11%,-4.44%,-3.89%,0.55%,2.75%,SSIA
46,19-09-2025,1.820,1.840,1.770,1.800,32.481.000,58.465.800.000,0.00%,1.10%,-2.75%,-1.10%,1.10%,2.45%,SSIA
47,18-09-2025,1.850,1.850,1.795,1.820,54.754.800,99.653.736.000,0.27%,0.27%,-2.71%,-1.36%,0.00%,1.62%,SSIA
