col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SSMS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SSMS
1,21-11-2025,1.585,1.595,1.550,1.550,6.540.400,10.137.620.000,0.32%,0.95%,-1.90%,-1.90%,0.63%,1.57%,SSMS
2,20-11-2025,1.575,1.625,1.570,1.580,8.966.400,14.166.912.000,0.32%,3.50%,0.00%,0.64%,3.17%,6.15%,SSMS
3,19-11-2025,1.530,1.575,1.525,1.570,7.955.600,12.490.292.000,0.00%,2.94%,-0.33%,2.61%,2.94%,2.86%,SSMS
4,18-11-2025,1.595,1.600,1.530,1.530,7.410.000,11.337.300.000,0.31%,0.63%,-3.77%,-3.77%,0.31%,4.06%,SSMS
5,17-11-2025,1.555,1.590,1.535,1.590,7.301.700,11.609.703.000,1.30%,3.58%,0.00%,3.58%,2.25%,4.40%,SSMS
6,14-11-2025,1.520,1.555,1.520,1.535,7.284.600,11.181.861.000,0.00%,2.30%,0.00%,0.99%,2.30%,2.57%,SSMS
7,13-11-2025,1.580,1.590,1.515,1.520,9.572.200,14.549.744.000,0.32%,0.95%,-3.81%,-3.49%,0.63%,0.94%,SSMS
8,12-11-2025,1.605,1.625,1.575,1.575,7.432.000,11.705.400.000,0.31%,1.56%,-1.56%,-1.56%,1.25%,2.15%,SSMS
9,11-11-2025,1.640,1.640,1.590,1.600,7.270.200,11.632.320.000,1.23%,1.23%,-1.85%,-1.23%,0.00%,3.66%,SSMS
10,10-11-2025,1.625,1.635,1.580,1.620,6.893.300,11.167.146.000,1.88%,2.51%,-0.94%,1.57%,0.62%,3.36%,SSMS
11,07-11-2025,1.620,1.620,1.580,1.595,6.600.200,10.527.319.000,0.31%,0.31%,-2.17%,-1.24%,0.00%,2.16%,SSMS
