col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),STAA
1,2,3,4,5,6,7,8,9,10,11,12,13,14,STAA
1,21-11-2025,1.490,1.490,1.385,1.390,13.707.000,19.052.730.000,0.00%,0.00%,-7.05%,-6.71%,0.00%,0.34%,STAA
2,20-11-2025,1.545,1.545,1.485,1.490,17.157.700,25.564.973.000,1.64%,1.64%,-2.30%,-1.97%,0.00%,5.50%,STAA
3,19-11-2025,1.460,1.540,1.460,1.520,24.269.400,36.889.488.000,0.34%,5.84%,0.34%,4.47%,5.48%,7.14%,STAA
4,18-11-2025,1.460,1.470,1.430,1.455,22.144.700,32.220.538.500,0.69%,1.38%,-1.38%,0.34%,0.68%,3.06%,STAA
5,17-11-2025,1.450,1.460,1.425,1.450,18.066.300,26.196.135.000,0.69%,1.39%,-1.04%,0.69%,0.69%,3.77%,STAA
6,14-11-2025,1.415,1.475,1.405,1.440,15.783.200,22.727.808.000,0.00%,4.24%,-0.71%,1.77%,4.24%,4.41%,STAA
7,13-11-2025,1.425,1.455,1.410,1.415,19.717.900,27.900.828.500,0.00%,2.11%,-1.05%,-0.70%,2.11%,5.15%,STAA
8,12-11-2025,1.400,1.425,1.380,1.425,18.536.500,26.414.512.500,-0.36%,1.42%,-1.78%,1.42%,1.79%,3.16%,STAA
9,11-11-2025,1.425,1.425,1.380,1.405,21.221.700,29.816.488.500,1.06%,1.06%,-2.13%,-0.35%,0.00%,4.91%,STAA
10,10-11-2025,1.355,1.435,1.355,1.410,32.907.700,46.399.857.000,0.00%,5.90%,0.00%,4.06%,5.90%,9.06%,STAA
11,07-11-2025,1.440,1.440,1.305,1.355,27.716.000,37.555.180.000,0.70%,0.70%,-8.74%,-5.24%,0.00%,0.69%,STAA
12,06-11-2025,1.460,1.525,1.430,1.430,29.004.800,41.476.864.000,0.34%,4.81%,-1.72%,-1.72%,4.45%,7.87%,STAA
13,05-11-2025,1.425,1.455,1.405,1.455,22.992.900,33.454.669.500,0.35%,2.46%,-1.06%,2.46%,2.11%,3.44%,STAA
14,04-11-2025,1.420,1.465,1.405,1.420,22.268.400,31.621.128.000,0.71%,3.90%,-0.35%,0.71%,3.17%,5.80%,STAA
15,03-11-2025,1.385,1.410,1.380,1.410,22.508.600,31.737.126.000,-0.36%,1.44%,-0.72%,1.44%,1.81%,1.77%,STAA
16,31-10-2025,1.420,1.435,1.385,1.390,25.196.900,35.023.691.000,0.35%,1.41%,-2.12%,-1.77%,1.06%,2.79%,STAA
17,30-10-2025,1.430,1.450,1.395,1.415,24.851.000,35.164.165.000,0.70%,2.11%,-1.76%,-0.35%,1.40%,4.14%,STAA
18,29-10-2025,1.415,1.435,1.390,1.420,29.893.300,42.448.486.000,0.00%,1.41%,-1.77%,0.35%,1.41%,1.39%,STAA
19,28-10-2025,1.490,1.490,1.415,1.415,28.041.100,39.678.156.500,2.41%,2.41%,-2.75%,-2.75%,0.00%,2.68%,STAA
20,27-10-2025,1.570,1.700,1.450,1.455,32.708.500,47.590.867.500,1.62%,10.03%,-6.15%,-5.83%,8.28%,10.29%,STAA
21,24-10-2025,1.615,1.645,1.525,1.545,24.831.400,38.364.513.000,-3.00%,-1.20%,-8.41%,-7.21%,1.86%,-0.91%,STAA
22,23-10-2025,1.890,1.895,1.660,1.665,26.362.900,43.894.228.500,-0.26%,0.00%,-12.40%,-12.14%,0.26%,6.86%,STAA
23,22-10-2025,1.770,1.965,1.765,1.895,36.439.800,69.053.421.000,0.28%,11.33%,0.00%,7.37%,11.02%,13.99%,STAA
24,21-10-2025,1.735,1.805,1.690,1.765,20.982.800,37.034.642.000,-0.86%,3.14%,-3.43%,0.86%,4.03%,11.36%,STAA
