col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),STAR
1,2,3,4,5,6,7,8,9,10,11,12,13,14,STAR
1,21-11-2025,96,96,96,96,519.700,49.891.200,9.09%,9.09%,9.09%,9.09%,0.00%,8.33%,STAR
2,20-11-2025,88,88,88,88,1.661.700,146.229.600,10.00%,10.00%,10.00%,10.00%,0.00%,14.77%,STAR
3,19-11-2025,82,82,75,80,185.800,14.864.000,0.00%,0.00%,-8.54%,-2.44%,0.00%,0.00%,STAR
4,18-11-2025,82,84,82,82,33.900,2.779.800,1.23%,3.70%,1.23%,1.23%,2.44%,3.57%,STAR
5,17-11-2025,84,84,81,81,105.300,8.529.300,3.70%,3.70%,0.00%,0.00%,0.00%,4.76%,STAR
6,14-11-2025,88,88,80,81,331.700,26.867.700,0.00%,0.00%,-9.09%,-7.95%,0.00%,7.95%,STAR
7,13-11-2025,81,88,81,88,257.900,22.695.200,1.25%,10.00%,1.25%,10.00%,8.64%,9.09%,STAR
8,12-11-2025,80,80,80,80,42.400,3.392.000,1.27%,1.27%,1.27%,1.27%,0.00%,5.00%,STAR
9,11-11-2025,76,79,76,79,247.300,19.536.700,1.33%,5.33%,1.33%,5.33%,3.95%,5.06%,STAR
10,10-11-2025,75,75,75,75,41.100,3.082.500,8.70%,8.70%,8.70%,8.70%,0.00%,8.00%,STAR
11,07-11-2025,69,69,69,69,54.200,3.739.800,-2.82%,-2.82%,-2.82%,-2.82%,0.00%,-2.90%,STAR
12,06-11-2025,72,72,71,71,15.800,1.121.800,0.00%,0.00%,-1.39%,-1.39%,0.00%,0.00%,STAR
13,05-11-2025,72,78,72,72,36.700,2.642.400,1.41%,9.86%,1.41%,1.41%,8.33%,8.97%,STAR
14,04-11-2025,71,75,71,71,77.200,5.481.200,0.00%,5.63%,0.00%,0.00%,5.63%,5.33%,STAR
15,03-11-2025,71,75,71,71,102.300,7.263.300,0.00%,5.63%,0.00%,0.00%,5.63%,5.33%,STAR
16,31-10-2025,72,72,71,71,124.500,8.839.500,-7.69%,-7.69%,-8.97%,-8.97%,0.00%,-8.33%,STAR
17,30-10-2025,78,78,78,78,31.100,2.425.800,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,STAR
18,29-10-2025,72,79,72,78,23.200,1.809.600,-10.00%,-1.25%,-10.00%,-2.50%,9.72%,6.33%,STAR
19,28-10-2025,75,80,74,80,48.300,3.864.000,-6.25%,0.00%,-7.50%,0.00%,6.67%,0.00%,STAR
20,27-10-2025,81,81,80,80,17.700,1.416.000,0.00%,0.00%,-1.23%,-1.23%,0.00%,0.00%,STAR
21,24-10-2025,82,82,81,81,10.800,874.800,2.50%,2.50%,1.25%,1.25%,0.00%,2.44%,STAR
22,23-10-2025,81,81,80,80,91.900,7.352.000,1.25%,1.25%,0.00%,0.00%,0.00%,2.47%,STAR
23,22-10-2025,86,86,79,80,101.200,8.096.000,7.50%,7.50%,-1.25%,0.00%,0.00%,15.12%,STAR
24,21-10-2025,73,80,73,80,71.300,5.704.000,0.00%,9.59%,0.00%,9.59%,9.59%,12.50%,STAR
25,20-10-2025,73,75,70,73,60.000,4.380.000,0.00%,2.74%,-4.11%,0.00%,2.74%,2.67%,STAR
26,17-10-2025,73,73,73,73,164.100,11.979.300,-8.75%,-8.75%,-8.75%,-8.75%,0.00%,-9.59%,STAR
27,16-10-2025,82,82,80,80,51.100,4.088.000,3.80%,3.80%,1.27%,1.27%,0.00%,4.88%,STAR
28,15-10-2025,84,84,78,79,82.600,6.525.400,0.00%,0.00%,-7.14%,-5.95%,0.00%,2.38%,STAR
29,14-10-2025,90,90,82,84,512.700,43.066.800,8.43%,8.43%,-1.20%,1.20%,0.00%,7.78%,STAR
30,13-10-2025,83,99,83,83,1.131.500,93.914.500,-9.78%,7.61%,-9.78%,-9.78%,19.28%,7.07%,STAR
31,10-10-2025,99,99,92,92,147.700,13.588.400,-2.94%,-2.94%,-9.80%,-9.80%,0.00%,-3.03%,STAR
32,09-10-2025,102,102,102,102,329.600,33.619.200,9.68%,9.68%,9.68%,9.68%,0.00%,8.82%,STAR
33,08-10-2025,93,93,93,93,294.500,27.388.500,9.41%,9.41%,9.41%,9.41%,0.00%,8.60%,STAR
34,07-10-2025,85,85,85,85,586.800,49.878.000,8.97%,8.97%,8.97%,8.97%,0.00%,11.76%,STAR
35,06-10-2025,75,78,75,78,488.100,38.071.800,5.63%,9.86%,5.63%,9.86%,4.00%,8.97%,STAR
36,03-10-2025,75,75,71,71,302.300,21.463.300,0.00%,0.00%,-5.33%,-5.33%,0.00%,0.00%,STAR
37,02-10-2025,76,76,75,75,144.600,10.845.000,0.00%,0.00%,-1.32%,-1.32%,0.00%,0.00%,STAR
38,01-10-2025,76,76,76,76,216.800,16.476.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,STAR
39,30-09-2025,76,76,76,76,258.300,19.630.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,STAR
40,29-09-2025,84,84,76,76,731.400,55.586.400,0.00%,0.00%,-9.52%,-9.52%,0.00%,0.00%,STAR
41,26-09-2025,86,86,84,84,617.700,51.886.800,-7.53%,-7.53%,-9.68%,-9.68%,0.00%,-8.14%,STAR
42,25-09-2025,102,102,93,93,109.600,10.192.800,-0.97%,-0.97%,-9.71%,-9.71%,0.00%,0.00%,STAR
