col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SULI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SULI
1,21-11-2025,134,134,128,133,1.466.500,195.044.500,0.00%,0.00%,-4.48%,-0.75%,0.00%,8.96%,SULI
2,20-11-2025,126,139,122,134,13.217.200,1.771.104.800,0.00%,10.32%,-3.17%,6.35%,10.32%,13.67%,SULI
3,19-11-2025,128,128,120,126,4.154.300,523.441.800,0.00%,0.00%,-6.25%,-1.56%,0.00%,3.13%,SULI
4,18-11-2025,130,130,124,128,349.700,44.761.600,0.78%,0.78%,-3.88%,-0.78%,0.00%,3.85%,SULI
5,17-11-2025,131,132,125,129,1.066.500,137.578.500,0.77%,1.54%,-3.85%,-0.77%,0.76%,6.06%,SULI
6,14-11-2025,127,133,124,130,2.841.300,369.369.000,1.60%,6.40%,-0.80%,4.00%,4.72%,8.27%,SULI
7,13-11-2025,134,134,122,125,4.686.300,585.787.500,2.29%,2.29%,-6.87%,-4.58%,0.00%,5.22%,SULI
8,12-11-2025,135,137,127,131,1.044.700,136.855.700,3.85%,5.38%,-2.31%,0.77%,1.48%,5.11%,SULI
9,11-11-2025,135,139,130,130,1.391.100,180.843.000,0.00%,2.96%,-3.70%,-3.70%,2.96%,4.32%,SULI
10,10-11-2025,135,136,133,135,632.200,85.347.000,0.00%,0.74%,-1.48%,0.00%,0.74%,2.21%,SULI
11,07-11-2025,138,140,133,135,1.030.600,139.131.000,1.47%,2.94%,-2.21%,-0.74%,1.45%,6.43%,SULI
12,06-11-2025,137,137,131,136,1.895.200,257.747.200,0.74%,0.74%,-3.68%,0.00%,0.00%,2.19%,SULI
13,05-11-2025,137,140,134,136,1.108.700,150.783.200,0.74%,2.94%,-1.47%,0.00%,2.19%,4.29%,SULI
14,04-11-2025,141,141,134,136,839.900,114.226.400,1.44%,1.44%,-3.60%,-2.16%,0.00%,7.09%,SULI
15,03-11-2025,143,143,131,139,888.500,123.501.500,0.70%,0.70%,-7.75%,-2.11%,0.00%,2.80%,SULI
16,31-10-2025,143,150,139,142,571.800,81.195.600,0.00%,4.90%,-2.80%,-0.70%,4.90%,7.33%,SULI
17,30-10-2025,146,146,139,143,3.671.300,524.995.900,2.10%,2.10%,-2.80%,0.00%,0.00%,2.74%,SULI
18,29-10-2025,147,149,142,143,2.418.100,345.788.300,1.38%,2.76%,-2.07%,-1.38%,1.36%,6.04%,SULI
19,28-10-2025,147,147,140,145,1.349.600,195.692.000,1.38%,1.38%,-3.45%,0.00%,0.00%,3.40%,SULI
20,27-10-2025,154,154,142,145,2.671.500,387.367.500,1.99%,1.99%,-5.96%,-3.97%,0.00%,3.25%,SULI
21,24-10-2025,155,157,149,151,5.317.100,802.882.100,0.65%,1.95%,-3.25%,-1.95%,1.29%,14.01%,SULI
22,23-10-2025,150,157,135,154,12.565.500,1.935.087.000,2.04%,6.80%,-8.16%,4.76%,4.67%,8.92%,SULI
23,22-10-2025,154,155,143,147,5.760.300,846.764.100,0.65%,1.31%,-6.54%,-3.92%,0.65%,4.52%,SULI
24,21-10-2025,150,180,148,153,34.477.400,5.275.042.200,0.00%,20.00%,-1.33%,2.00%,20.00%,20.00%,SULI
25,20-10-2025,149,152,144,150,4.117.300,617.595.000,0.00%,2.01%,-3.36%,0.67%,2.01%,9.21%,SULI
26,17-10-2025,147,150,138,149,2.334.100,347.780.900,-0.68%,1.35%,-6.76%,0.68%,2.04%,5.33%,SULI
27,16-10-2025,151,151,142,148,2.112.800,312.694.400,1.34%,1.34%,-4.70%,-0.67%,0.00%,5.30%,SULI
28,15-10-2025,150,153,143,149,4.482.200,667.847.800,0.00%,2.00%,-4.67%,-0.67%,2.00%,9.15%,SULI
29,14-10-2025,153,153,139,150,6.728.200,1.009.230.000,3.38%,3.38%,-6.08%,1.35%,0.00%,8.50%,SULI
30,13-10-2025,150,155,140,148,5.409.000,800.532.000,2.04%,5.44%,-4.76%,0.68%,3.33%,15.48%,SULI
31,10-10-2025,144,149,131,147,7.420.600,1.090.828.200,0.00%,3.47%,-9.03%,2.08%,3.47%,6.71%,SULI
32,09-10-2025,140,159,139,144,22.098.100,3.182.126.400,0.00%,13.57%,-0.71%,2.86%,13.57%,16.98%,SULI
33,08-10-2025,134,140,132,140,8.246.700,1.154.538.000,-2.19%,2.19%,-3.65%,2.19%,4.48%,8.57%,SULI
34,07-10-2025,136,140,128,137,8.633.600,1.182.803.200,5.43%,8.53%,-0.78%,6.20%,2.94%,20.00%,SULI
35,06-10-2025,127,140,112,129,28.546.800,3.682.537.200,-2.31%,7.69%,-13.85%,-0.77%,10.24%,7.14%,SULI
36,03-10-2025,155,156,130,130,43.006.000,5.590.780.000,1.97%,2.63%,-14.47%,-14.47%,0.65%,26.28%,SULI
37,02-10-2025,117,152,115,152,78.671.100,11.958.007.200,3.54%,34.51%,1.77%,34.51%,29.91%,26.97%,SULI
38,01-10-2025,116,121,111,113,6.645.900,750.986.700,4.50%,9.01%,0.00%,1.80%,4.31%,13.22%,SULI
39,30-09-2025,107,118,105,111,6.134.400,680.918.400,0.00%,10.28%,-1.87%,3.74%,10.28%,12.71%,SULI
40,29-09-2025,106,107,103,107,1.499.700,160.467.900,0.00%,0.94%,-2.83%,0.94%,0.94%,6.54%,SULI
41,26-09-2025,105,106,100,106,2.211.400,234.408.400,0.00%,0.95%,-4.76%,0.95%,0.95%,4.72%,SULI
42,25-09-2025,106,107,101,105,1.173.800,123.249.000,1.92%,2.88%,-2.88%,0.96%,0.94%,6.54%,SULI
43,24-09-2025,106,106,100,104,1.206.800,125.507.200,1.92%,1.92%,-3.85%,0.00%,0.00%,8.49%,SULI
44,23-09-2025,98,106,97,104,5.304.400,551.657.600,-1.01%,7.07%,-2.02%,5.05%,8.16%,12.26%,SULI
45,22-09-2025,93,101,93,99,3.599.700,356.370.300,0.00%,8.60%,0.00%,6.45%,8.60%,8.91%,SULI
46,19-09-2025,95,95,92,93,670.500,62.356.500,1.06%,1.06%,-2.13%,-1.06%,0.00%,1.05%,SULI
47,18-09-2025,96,97,94,94,411.400,38.671.600,0.00%,1.04%,-2.08%,-2.08%,1.04%,1.03%,SULI
