col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),SUNI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,SUNI
1,21-11-2025,790,790,780,790,323.500,255.565.000,0.00%,0.00%,-1.27%,0.00%,0.00%,0.63%,SUNI
2,20-11-2025,795,795,785,790,290.000,229.100.000,0.00%,0.00%,-1.26%,-0.63%,0.00%,1.26%,SUNI
3,19-11-2025,795,795,785,795,196.700,156.376.500,0.00%,0.00%,-1.26%,0.00%,0.00%,0.63%,SUNI
4,18-11-2025,800,800,790,795,262.200,208.449.000,0.00%,0.00%,-1.25%,-0.63%,0.00%,1.88%,SUNI
5,17-11-2025,800,805,785,800,604.400,483.520.000,0.00%,0.63%,-1.88%,0.00%,0.63%,2.48%,SUNI
6,14-11-2025,805,805,785,800,385.600,308.480.000,0.00%,0.00%,-2.48%,-0.62%,0.00%,1.24%,SUNI
7,13-11-2025,800,805,795,805,627.700,505.298.500,0.00%,0.63%,-0.63%,0.63%,0.63%,2.48%,SUNI
8,12-11-2025,795,800,785,800,472.100,377.680.000,-0.63%,0.00%,-1.88%,0.00%,0.63%,1.25%,SUNI
9,11-11-2025,805,805,790,800,453.000,362.400.000,0.00%,0.00%,-1.86%,-0.62%,0.00%,1.24%,SUNI
10,10-11-2025,800,805,795,805,681.100,548.285.500,0.00%,0.63%,-0.63%,0.63%,0.63%,1.86%,SUNI
11,07-11-2025,795,800,790,800,326.500,261.200.000,-0.63%,0.00%,-1.25%,0.00%,0.63%,1.88%,SUNI
12,06-11-2025,800,800,785,800,469.900,375.920.000,0.00%,0.00%,-1.88%,0.00%,0.00%,1.88%,SUNI
13,05-11-2025,795,800,785,800,335.100,268.080.000,0.00%,0.63%,-1.26%,0.63%,0.63%,1.25%,SUNI
14,04-11-2025,795,795,790,795,282.300,224.428.500,0.00%,0.00%,-0.63%,0.00%,0.00%,1.26%,SUNI
15,03-11-2025,790,795,785,795,598.600,475.887.000,0.00%,0.63%,-0.63%,0.63%,0.63%,1.26%,SUNI
16,31-10-2025,785,800,785,790,842.700,665.733.000,0.00%,1.91%,0.00%,0.64%,1.91%,1.88%,SUNI
17,30-10-2025,790,800,785,785,1.350.800,1.060.378.000,0.64%,1.91%,0.00%,0.00%,1.27%,3.13%,SUNI
18,29-10-2025,780,785,775,785,476.900,374.366.500,0.00%,0.64%,-0.64%,0.64%,0.64%,1.27%,SUNI
19,28-10-2025,780,785,775,780,280.900,219.102.000,0.00%,0.64%,-0.64%,0.00%,0.64%,1.91%,SUNI
20,27-10-2025,785,790,770,780,443.800,346.164.000,0.00%,0.64%,-1.91%,-0.64%,0.64%,2.53%,SUNI
21,24-10-2025,785,785,770,785,263.600,206.926.000,0.00%,0.00%,-1.91%,0.00%,0.00%,2.55%,SUNI
22,23-10-2025,780,785,765,785,872.900,685.226.500,0.00%,0.64%,-1.92%,0.64%,0.64%,1.27%,SUNI
23,22-10-2025,795,795,775,780,1.210.300,944.034.000,-0.63%,-0.63%,-3.13%,-2.50%,0.00%,0.63%,SUNI
24,21-10-2025,800,800,790,800,781.000,624.800.000,0.00%,0.00%,-1.25%,0.00%,0.00%,0.63%,SUNI
25,20-10-2025,805,815,795,800,504.600,403.680.000,0.00%,1.24%,-1.24%,-0.62%,1.24%,1.23%,SUNI
26,17-10-2025,810,815,805,805,161.400,129.927.000,-0.61%,0.00%,-1.23%,-1.23%,0.62%,1.84%,SUNI
27,16-10-2025,820,820,800,815,478.400,389.896.000,0.00%,0.00%,-2.44%,-0.61%,0.00%,3.66%,SUNI
28,15-10-2025,820,820,790,820,512.900,420.578.000,0.00%,0.00%,-3.66%,0.00%,0.00%,2.44%,SUNI
29,14-10-2025,820,820,800,820,600.600,492.492.000,-0.61%,-0.61%,-3.03%,-0.61%,0.00%,0.61%,SUNI
30,13-10-2025,830,830,815,825,319.000,263.175.000,-0.60%,-0.60%,-2.40%,-1.20%,0.00%,2.41%,SUNI
31,10-10-2025,825,840,810,835,919.700,767.949.500,0.00%,1.82%,-1.82%,1.21%,1.82%,3.57%,SUNI
32,09-10-2025,815,825,810,825,464.700,383.377.500,-0.61%,0.61%,-1.22%,0.61%,1.23%,0.61%,SUNI
33,08-10-2025,840,845,820,820,339.400,278.308.000,0.00%,0.60%,-2.38%,-2.38%,0.60%,4.73%,SUNI
34,07-10-2025,815,855,805,840,934.200,784.728.000,0.00%,4.91%,-1.23%,3.07%,4.91%,5.85%,SUNI
35,06-10-2025,805,825,805,815,823.500,671.152.500,0.00%,2.48%,0.00%,1.24%,2.48%,2.42%,SUNI
36,03-10-2025,830,835,805,805,627.800,505.379.000,-1.19%,-0.60%,-4.17%,-4.17%,0.60%,1.80%,SUNI
37,02-10-2025,840,850,820,840,833.200,699.888.000,0.00%,1.19%,-2.38%,0.00%,1.19%,2.94%,SUNI
38,01-10-2025,840,840,825,840,490.400,411.936.000,0.00%,0.00%,-1.79%,0.00%,0.00%,2.38%,SUNI
39,30-09-2025,835,840,820,840,297.400,249.816.000,-0.60%,0.00%,-2.38%,0.00%,0.60%,1.79%,SUNI
40,29-09-2025,840,840,825,840,306.500,257.460.000,0.00%,0.00%,-1.79%,0.00%,0.00%,2.38%,SUNI
41,26-09-2025,820,840,820,840,339.500,285.180.000,-1.80%,0.60%,-1.80%,0.60%,2.44%,3.57%,SUNI
42,25-09-2025,815,845,810,835,711.000,593.685.000,0.00%,3.68%,-0.61%,2.45%,3.68%,4.14%,SUNI
43,24-09-2025,845,845,810,815,297.800,242.707.000,0.00%,0.00%,-4.14%,-3.55%,0.00%,1.78%,SUNI
44,23-09-2025,840,855,830,845,228.100,192.744.500,-1.75%,0.00%,-2.92%,-1.17%,1.79%,2.34%,SUNI
45,22-09-2025,860,860,835,855,464.400,397.062.000,-1.15%,-1.15%,-4.02%,-1.72%,0.00%,3.49%,SUNI
46,19-09-2025,845,870,830,870,703.500,612.045.000,-0.59%,2.35%,-2.35%,2.35%,2.96%,6.90%,SUNI
47,18-09-2025,830,855,810,850,475.700,404.345.000,0.00%,3.01%,-2.41%,2.41%,3.01%,4.09%,SUNI
48,17-09-2025,835,845,820,830,256.100,212.563.000,-1.18%,0.00%,-2.96%,-1.78%,1.20%,3.55%,SUNI
49,16-09-2025,845,850,815,845,540.500,456.722.500,0.00%,0.59%,-3.55%,0.00%,0.59%,1.18%,SUNI
50,15-09-2025,845,870,840,845,767.000,648.115.000,0.00%,2.96%,-0.59%,0.00%,2.96%,5.75%,SUNI
51,12-09-2025,850,860,820,845,1.318.600,1.114.217.000,0.00%,1.18%,-3.53%,-0.59%,1.18%,6.98%,SUNI
52,11-09-2025,805,850,800,850,2.048.700,1.741.395.000,0.00%,5.59%,-0.62%,5.59%,5.59%,7.06%,SUNI
53,10-09-2025,790,810,790,805,979.700,788.658.500,-0.63%,1.89%,-0.63%,1.26%,2.53%,4.32%,SUNI
54,09-09-2025,805,810,775,795,435.700,346.381.500,0.00%,0.62%,-3.73%,-1.24%,0.62%,3.70%,SUNI
