col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),WOOD
1,2,3,4,5,6,7,8,9,10,11,12,13,14,WOOD
1,21-11-2025,392,398,386,386,4.328.400,1.670.762.400,0.51%,2.05%,-1.03%,-1.03%,1.53%,3.02%,WOOD
2,20-11-2025,402,402,386,390,13.720.400,5.350.956.000,0.00%,0.00%,-3.98%,-2.99%,0.00%,1.49%,WOOD
3,19-11-2025,416,416,396,402,11.134.200,4.475.948.400,0.00%,0.00%,-4.81%,-3.37%,0.00%,0.00%,WOOD
4,18-11-2025,416,426,416,416,2.391.900,995.030.400,0.00%,2.40%,0.00%,0.00%,2.40%,2.35%,WOOD
5,17-11-2025,426,426,416,416,2.510.900,1.044.534.400,0.00%,0.00%,-2.35%,-2.35%,0.00%,2.35%,WOOD
6,14-11-2025,422,436,416,426,4.383.100,1.867.200.600,0.48%,3.81%,-0.95%,1.43%,3.32%,6.42%,WOOD
7,13-11-2025,426,426,408,420,8.242.200,3.461.724.000,0.95%,0.95%,-3.32%,-0.47%,0.00%,1.88%,WOOD
8,12-11-2025,440,440,418,422,14.366.400,6.062.620.800,0.92%,0.92%,-4.13%,-3.21%,0.00%,1.82%,WOOD
9,11-11-2025,440,446,432,436,5.965.100,2.600.783.600,0.46%,1.83%,-1.37%,-0.46%,1.36%,2.24%,WOOD
10,10-11-2025,448,448,436,438,8.253.300,3.614.945.400,0.00%,0.00%,-2.68%,-2.23%,0.00%,0.45%,WOOD
11,07-11-2025,486,490,446,448,18.858.800,8.448.742.400,-3.76%,-2.97%,-11.68%,-11.29%,0.82%,11.84%,WOOD
12,06-11-2025,444,525,432,505,8.280.400,4.181.602.000,0.00%,18.24%,-2.70%,13.74%,18.24%,16.19%,WOOD
13,05-11-2025,440,454,440,444,1.625.000,721.500.000,-1.35%,1.79%,-1.35%,-0.45%,3.18%,1.76%,WOOD
14,04-11-2025,460,460,446,446,2.288.700,1.020.760.200,1.32%,1.32%,-1.76%,-1.76%,0.00%,2.17%,WOOD
15,03-11-2025,452,462,450,454,1.888.400,857.333.600,-0.88%,1.32%,-1.32%,-0.44%,2.21%,1.30%,WOOD
16,31-10-2025,466,466,456,456,2.218.700,1.011.727.200,0.43%,0.43%,-1.72%,-1.72%,0.00%,2.58%,WOOD
17,30-10-2025,464,464,454,464,1.380.100,640.366.400,-0.43%,-0.43%,-2.58%,-0.43%,0.00%,3.02%,WOOD
18,29-10-2025,454,478,450,466,2.501.300,1.165.605.800,0.44%,5.75%,-0.44%,3.10%,5.29%,5.44%,WOOD
19,28-10-2025,462,470,452,452,1.541.300,696.667.600,1.76%,3.52%,-0.44%,-0.44%,1.73%,8.51%,WOOD
20,27-10-2025,480,480,430,454,13.087.700,5.941.815.800,1.69%,1.69%,-8.90%,-3.81%,0.00%,1.67%,WOOD
21,24-10-2025,480,486,472,472,2.660.200,1.255.614.400,-0.41%,0.83%,-2.07%,-2.07%,1.25%,2.47%,WOOD
22,23-10-2025,482,482,474,482,1.935.500,932.911.000,0.00%,0.00%,-1.66%,0.00%,0.00%,0.41%,WOOD
23,22-10-2025,494,494,480,482,2.104.600,1.014.417.200,0.41%,0.41%,-2.44%,-2.03%,0.00%,3.64%,WOOD
24,21-10-2025,484,505,476,492,5.695.100,2.801.989.200,0.00%,4.34%,-1.65%,1.65%,4.34%,8.51%,WOOD
25,20-10-2025,466,490,462,484,3.627.900,1.755.903.600,0.87%,6.06%,0.00%,4.76%,5.15%,7.35%,WOOD
26,17-10-2025,480,488,454,462,5.198.100,2.401.522.200,0.00%,1.67%,-5.42%,-3.75%,1.67%,2.05%,WOOD
