col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),WOWS
1,2,3,4,5,6,7,8,9,10,11,12,13,14,WOWS
1,21-11-2025,79,81,77,80,27.253.500,2.180.280.000,1.28%,3.85%,-1.28%,2.56%,2.53%,4.94%,WOWS
2,20-11-2025,78,79,77,78,12.431.300,969.641.400,0.00%,1.28%,-1.28%,0.00%,1.28%,2.53%,WOWS
3,19-11-2025,79,79,77,78,10.529.200,821.277.600,1.28%,1.28%,-1.28%,0.00%,0.00%,2.53%,WOWS
4,18-11-2025,82,83,77,78,27.708.700,2.161.278.600,0.00%,1.22%,-6.10%,-4.88%,1.22%,3.61%,WOWS
5,17-11-2025,83,85,80,82,40.511.900,3.321.975.800,1.22%,3.66%,-2.44%,0.00%,2.41%,7.06%,WOWS
6,14-11-2025,79,83,79,82,77.850.800,6.383.765.600,1.28%,6.41%,1.28%,5.13%,5.06%,9.64%,WOWS
7,13-11-2025,76,82,75,78,92.406.600,7.207.714.800,0.00%,7.89%,-1.32%,2.63%,7.89%,9.76%,WOWS
8,12-11-2025,76,77,74,76,28.775.500,2.186.938.000,0.00%,1.32%,-2.63%,0.00%,1.32%,3.90%,WOWS
9,11-11-2025,76,77,74,76,25.254.600,1.919.349.600,1.33%,2.67%,-1.33%,1.33%,1.32%,5.19%,WOWS
10,10-11-2025,75,79,73,75,75.468.900,5.660.167.500,0.00%,5.33%,-2.67%,0.00%,5.33%,7.59%,WOWS
11,07-11-2025,79,80,73,75,120.117.500,9.008.812.500,0.00%,1.27%,-7.59%,-5.06%,1.27%,3.75%,WOWS
12,06-11-2025,79,80,77,79,21.858.200,1.726.797.800,0.00%,1.27%,-2.53%,0.00%,1.27%,3.75%,WOWS
13,05-11-2025,80,86,77,79,180.864.100,14.288.263.900,0.00%,7.50%,-3.75%,-1.25%,7.50%,8.14%,WOWS
14,04-11-2025,81,87,79,80,163.194.800,13.055.584.000,0.00%,7.41%,-2.47%,-1.23%,7.41%,12.64%,WOWS
15,03-11-2025,81,82,76,81,83.525.600,6.765.573.600,0.00%,1.23%,-6.17%,0.00%,1.23%,4.88%,WOWS
16,31-10-2025,82,83,78,81,32.406.400,2.624.918.400,1.23%,2.47%,-3.70%,0.00%,1.22%,3.61%,WOWS
17,30-10-2025,82,84,80,81,29.022.900,2.350.854.900,1.23%,3.70%,-1.23%,0.00%,2.44%,3.57%,WOWS
18,29-10-2025,85,86,81,81,28.405.500,2.300.845.500,0.00%,1.18%,-4.71%,-4.71%,1.18%,4.65%,WOWS
19,28-10-2025,90,92,82,85,134.305.900,11.416.001.500,2.27%,4.55%,-6.82%,-3.41%,2.22%,14.13%,WOWS
20,27-10-2025,80,88,79,88,118.502.400,10.428.211.200,1.27%,11.39%,0.00%,11.39%,10.00%,11.36%,WOWS
21,24-10-2025,82,85,78,79,40.313.300,3.184.750.700,0.00%,3.66%,-4.88%,-3.66%,3.66%,12.94%,WOWS
