col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ZINC
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ZINC
1,21-11-2025,32,32,32,32,2.439.600,78.067.200,3.23%,3.23%,3.23%,3.23%,0.00%,3.13%,ZINC
2,20-11-2025,32,32,31,31,6.294.300,195.123.300,-3.03%,-3.03%,-6.06%,-6.06%,0.00%,-3.13%,ZINC
3,19-11-2025,34,34,33,33,7.705.600,254.284.800,0.00%,0.00%,-2.94%,-2.94%,0.00%,2.94%,ZINC
4,18-11-2025,34,34,33,34,16.178.000,550.052.000,0.00%,0.00%,-2.94%,0.00%,0.00%,0.00%,ZINC
5,17-11-2025,34,34,34,34,49.742.800,1.691.255.200,9.68%,9.68%,9.68%,9.68%,0.00%,14.71%,ZINC
6,14-11-2025,29,31,29,31,13.838.500,428.993.500,0.00%,6.90%,0.00%,6.90%,6.90%,6.45%,ZINC
7,13-11-2025,30,30,29,29,6.999.600,202.988.400,0.00%,0.00%,-3.33%,-3.33%,0.00%,3.33%,ZINC
8,12-11-2025,30,30,29,30,16.630.600,498.918.000,0.00%,0.00%,-3.33%,0.00%,0.00%,0.00%,ZINC
9,11-11-2025,30,30,30,30,12.009.600,360.288.000,0.00%,0.00%,0.00%,0.00%,0.00%,3.33%,ZINC
10,10-11-2025,29,30,29,30,8.556.300,256.689.000,0.00%,3.45%,0.00%,3.45%,3.45%,6.67%,ZINC
11,07-11-2025,28,29,28,29,7.969.900,231.127.100,-3.45%,0.00%,-3.45%,0.00%,3.57%,3.45%,ZINC
12,06-11-2025,28,29,28,29,7.479.100,216.893.900,3.70%,7.41%,3.70%,7.41%,3.57%,6.90%,ZINC
13,05-11-2025,30,30,27,27,27.410.100,740.072.700,0.00%,0.00%,-10.00%,-10.00%,0.00%,0.00%,ZINC
14,04-11-2025,32,32,30,30,14.832.900,444.987.000,0.00%,0.00%,-6.25%,-6.25%,0.00%,0.00%,ZINC
15,03-11-2025,32,32,32,32,3.922.900,125.532.800,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,ZINC
16,31-10-2025,32,32,32,32,8.521.100,272.675.200,0.00%,0.00%,0.00%,0.00%,0.00%,3.13%,ZINC
17,30-10-2025,31,32,31,32,4.305.100,137.763.200,0.00%,3.23%,0.00%,3.23%,3.23%,6.25%,ZINC
18,29-10-2025,30,31,30,31,5.331.400,165.273.400,0.00%,3.33%,0.00%,3.33%,3.33%,3.23%,ZINC
19,28-10-2025,32,32,30,30,7.595.500,227.865.000,3.23%,3.23%,-3.23%,-3.23%,0.00%,3.13%,ZINC
20,27-10-2025,33,33,31,31,7.184.800,222.728.800,0.00%,0.00%,-6.06%,-6.06%,0.00%,0.00%,ZINC
21,24-10-2025,33,33,33,33,10.403.800,343.325.400,0.00%,0.00%,0.00%,0.00%,0.00%,3.03%,ZINC
22,23-10-2025,32,33,32,33,12.982.800,428.432.400,3.23%,6.45%,3.23%,6.45%,3.13%,6.06%,ZINC
23,22-10-2025,31,31,31,31,9.818.400,304.370.400,3.33%,3.33%,3.33%,3.33%,0.00%,3.23%,ZINC
24,21-10-2025,30,30,30,30,13.878.000,416.340.000,0.00%,0.00%,0.00%,0.00%,0.00%,6.67%,ZINC
25,20-10-2025,28,30,28,30,15.527.500,465.825.000,-9.68%,-3.23%,-9.68%,-3.23%,7.14%,-3.33%,ZINC
26,17-10-2025,31,31,31,31,22.547.200,698.963.200,0.00%,0.00%,0.00%,0.00%,0.00%,3.23%,ZINC
27,16-10-2025,30,31,30,31,6.382.000,197.842.000,0.00%,3.33%,0.00%,3.33%,3.33%,3.23%,ZINC
28,15-10-2025,31,31,30,30,17.942.300,538.269.000,-6.06%,-6.06%,-9.09%,-9.09%,0.00%,-6.45%,ZINC
29,14-10-2025,36,36,33,33,15.945.600,526.204.800,0.00%,0.00%,-8.33%,-8.33%,0.00%,0.00%,ZINC
30,13-10-2025,37,37,36,36,52.875.200,1.903.507.200,8.82%,8.82%,5.88%,5.88%,0.00%,8.11%,ZINC
31,10-10-2025,34,34,34,34,35.962.400,1.222.721.600,9.68%,9.68%,9.68%,9.68%,0.00%,8.82%,ZINC
32,09-10-2025,31,31,31,31,12.733.900,394.750.900,6.90%,6.90%,6.90%,6.90%,0.00%,6.45%,ZINC
33,08-10-2025,29,29,29,29,11.559.600,335.228.400,0.00%,0.00%,0.00%,0.00%,0.00%,3.45%,ZINC
34,07-10-2025,28,29,28,29,25.856.400,749.835.600,-3.45%,0.00%,-3.45%,0.00%,3.57%,0.00%,ZINC
35,06-10-2025,31,31,29,29,30.644.400,888.687.600,-3.13%,-3.13%,-9.38%,-9.38%,0.00%,-3.23%,ZINC
36,03-10-2025,35,35,32,32,26.377.500,844.080.000,0.00%,0.00%,-8.57%,-8.57%,0.00%,8.57%,ZINC
37,02-10-2025,32,35,32,35,22.194.800,776.818.000,0.00%,9.38%,0.00%,9.38%,9.38%,8.57%,ZINC
38,01-10-2025,32,32,32,32,37.186.000,1.189.952.000,-8.57%,-8.57%,-8.57%,-8.57%,0.00%,6.25%,ZINC
39,30-09-2025,30,35,30,35,64.511.500,2.257.902.500,-9.09%,6.06%,-9.09%,6.06%,16.67%,5.71%,ZINC
40,29-09-2025,33,33,33,33,49.857.400,1.645.294.200,-8.33%,-8.33%,-8.33%,-8.33%,0.00%,-9.09%,ZINC
41,26-09-2025,41,41,36,36,93.731.700,3.374.341.200,2.50%,2.50%,-10.00%,-10.00%,0.00%,4.88%,ZINC
42,25-09-2025,39,40,39,40,98.918.600,3.956.744.000,5.41%,8.11%,5.41%,8.11%,2.56%,7.50%,ZINC
43,24-09-2025,37,37,37,37,94.330.400,3.490.224.800,-9.76%,-9.76%,-9.76%,-9.76%,0.00%,-10.81%,ZINC
44,23-09-2025,41,41,41,41,55.428.900,2.272.584.900,-8.89%,-8.89%,-8.89%,-8.89%,0.00%,-9.76%,ZINC
45,22-09-2025,45,45,45,45,83.431.900,3.754.435.500,-10.00%,-10.00%,-10.00%,-10.00%,0.00%,-11.11%,ZINC
46,19-09-2025,50,50,50,50,134.183.800,6.709.190.000,8.70%,8.70%,8.70%,8.70%,0.00%,8.00%,ZINC
47,18-09-2025,46,46,46,46,32.242.100,1.483.136.600,9.52%,9.52%,9.52%,9.52%,0.00%,8.70%,ZINC
48,17-09-2025,42,42,42,42,17.771.900,746.419.800,7.69%,7.69%,7.69%,7.69%,0.00%,7.14%,ZINC
