col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),ZONE
1,2,3,4,5,6,7,8,9,10,11,12,13,14,ZONE
1,21-11-2025,555,555,530,555,24.000,13.320.000,-0.89%,-0.89%,-5.36%,-0.89%,0.00%,1.80%,ZONE
2,20-11-2025,560,560,545,560,10.000,5.600.000,0.00%,0.00%,-2.68%,0.00%,0.00%,4.46%,ZONE
3,19-11-2025,535,565,535,560,15.500,8.680.000,-4.46%,0.89%,-4.46%,0.00%,5.61%,3.54%,ZONE
4,18-11-2025,560,560,545,560,3.700,2.072.000,0.00%,0.00%,-2.68%,0.00%,0.00%,0.89%,ZONE
5,17-11-2025,560,565,555,560,19.900,11.144.000,0.00%,0.89%,-0.89%,0.00%,0.89%,6.19%,ZONE
6,14-11-2025,555,570,530,560,82.700,46.312.000,0.00%,2.70%,-4.50%,0.90%,2.70%,3.51%,ZONE
7,13-11-2025,560,565,550,555,53.800,29.859.000,-0.88%,0.00%,-2.65%,-1.77%,0.89%,2.65%,ZONE
8,12-11-2025,565,565,550,565,25.800,14.577.000,1.80%,1.80%,-0.90%,1.80%,0.00%,4.42%,ZONE
9,11-11-2025,545,560,540,555,16.700,9.268.500,-1.80%,0.90%,-2.70%,0.00%,2.75%,4.46%,ZONE
10,10-11-2025,565,565,535,555,18.900,10.489.500,2.73%,2.73%,-2.73%,0.91%,0.00%,4.42%,ZONE
11,07-11-2025,565,565,540,550,60.000,33.000.000,0.00%,0.00%,-4.42%,-2.65%,0.00%,4.42%,ZONE
12,06-11-2025,585,585,540,565,268.300,151.589.500,0.00%,0.00%,-7.69%,-3.42%,0.00%,1.71%,ZONE
13,05-11-2025,585,595,575,585,51.000,29.835.000,0.00%,1.71%,-1.71%,0.00%,1.71%,4.20%,ZONE
