col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,symbol
Day,Date,Open,High,Low,Close,Volume,Value,ClosetoOpen(CO),ClosetoHigh(CH),ClosetoLow(CL),ClosetoClose(CC),OpentoHigh(OH),LowtoHigh(LH),AALI
1,2,3,4,5,6,7,8,9,10,11,12,13,14,AALI
1,21-11-2025,7.875,7.875,7.775,7.800,496.100,3.869.580.000,0.00%,0.00%,-1.27%,-0.95%,0.00%,0.95%,AALI
2,20-11-2025,7.800,7.875,7.800,7.875,918.800,7.235.550.000,0.00%,0.96%,0.00%,0.96%,0.96%,2.22%,AALI
3,19-11-2025,7.700,7.800,7.700,7.800,1.295.300,10.103.340.000,0.00%,1.30%,0.00%,1.30%,1.30%,1.92%,AALI
4,18-11-2025,7.750,7.775,7.650,7.700,718.100,5.529.370.000,0.00%,0.32%,-1.29%,-0.65%,0.32%,1.93%,AALI
5,17-11-2025,7.650,7.750,7.625,7.750,884.000,6.851.000.000,-0.65%,0.65%,-0.97%,0.65%,1.31%,0.65%,AALI
6,14-11-2025,7.775,7.800,7.700,7.700,980.500,7.549.850.000,0.00%,0.32%,-0.96%,-0.96%,0.32%,0.64%,AALI
7,13-11-2025,7.925,7.950,7.750,7.775,1.590.600,12.366.915.000,0.32%,0.63%,-1.90%,-1.58%,0.32%,2.20%,AALI
8,12-11-2025,7.800,7.900,7.775,7.900,1.364.600,10.780.340.000,0.00%,1.28%,-0.32%,1.28%,1.28%,2.22%,AALI
9,11-11-2025,7.750,7.800,7.725,7.800,1.057.100,8.245.380.000,0.32%,0.97%,0.00%,0.97%,0.65%,1.60%,AALI
10,10-11-2025,7.800,7.825,7.675,7.725,1.414.900,10.930.102.500,0.00%,0.32%,-1.60%,-0.96%,0.32%,1.28%,AALI
11,07-11-2025,7.850,7.850,7.725,7.800,954.700,7.446.660.000,0.64%,0.64%,-0.96%,0.00%,0.00%,1.91%,AALI
12,06-11-2025,7.700,7.850,7.700,7.800,1.535.300,11.975.340.000,0.00%,1.95%,0.00%,1.30%,1.95%,3.82%,AALI
13,05-11-2025,7.675,7.700,7.550,7.700,1.070.400,8.242.080.000,-0.65%,-0.32%,-2.27%,-0.32%,0.33%,0.00%,AALI
14,04-11-2025,7.800,7.800,7.700,7.725,1.479.700,11.430.682.500,0.00%,0.00%,-1.28%,-0.96%,0.00%,0.32%,AALI
15,03-11-2025,7.850,7.950,7.775,7.800,1.415.700,11.042.460.000,0.64%,1.92%,-0.32%,0.00%,1.27%,3.14%,AALI
